Neighborhood,Crime Amount
san-pedro,75
pacific-palisades,24
brentwood,40
harbor-city,21
wilmington,57
harbor-gateway,42
playa-del-rey,14
westchester,122
venice,104
mar-vista,31
playa-vista,12
del-rey,20
gramercy-park,11
manchester-square,18
hyde-park,45
chesterfield-square,9
harvard-park,18
leimert-park,28
sawtelle,84
rancho-park,6
palms,56
west-los-angeles,35
century-city,17
cheviot-hills,4
beverlywood,2
westwood,31
bel-air,8
baldwin-hillscrenshaw,80
west-adams,16
pico-robertson,18
mid-city,49
mid-wilshire,66
exposition-park,56
jefferson-park,25
arlington-heights,24
harvard-heights,24
carthay,8
beverly-grove,96
fairfax,77
hancock-park,18
koreatown,152
windsor-square,23
hollywood,248
larchmont,9
vermont-vista,24
broadway-manchester,50
green-meadows,53
vermont-knolls,35
watts,41
vermont-slauson,46
florence,54
vermont-square,61
south-park,27
central-alameda,30
adams-normandie,16
university-park,67
historic-south-central,68
pico-union,51
downtown,485
westlake,143
east-hollywood,93
silver-lake,52
chinatown,28
echo-park,61
elysian-park,7
elysian-valley,4
cypress-park,6
boyle-heights,108
lincoln-heights,31
el-sereno,21
montecito-heights,8
woodland-hills,97
tarzana,59
encino,49
sepulveda-basin,7
west-hills,37
chatsworth-reservoir,0
canoga-park,122
winnetka,45
reseda,64
lake-balboa,20
northridge,81
north-hills,40
porter-ranch,18
granada-hills,62
beverly-crest,5
studio-city,98
sherman-oaks,114
valley-village,51
valley-glen,79
hollywood-hills-west,28
hollywood-hills,48
toluca-lake,11
north-hollywood,165
van-nuys,160
panorama-city,76
mission-hills,24
arleta,12
pacoima,50
sun-valley,78
hansen-dam,0
shadow-hills,15
sunland,12
los-feliz,57
griffith-park,14
atwater-village,14
glassell-park,26
mount-washington,6
highland-park,29
eagle-rock,38
tujunga,20
sylmar,53
lake-view-terrace,14
