Neighborhood,Crime Amount
san-pedro,5
pacific-palisades,4
brentwood,0
harbor-city,3
wilmington,12
harbor-gateway,6
playa-del-rey,1
westchester,4
venice,11
mar-vista,1
playa-vista,1
del-rey,0
gramercy-park,6
manchester-square,5
hyde-park,13
chesterfield-square,6
harvard-park,2
leimert-park,2
sawtelle,4
rancho-park,0
palms,2
west-los-angeles,3
century-city,1
cheviot-hills,0
beverlywood,0
westwood,2
bel-air,0
baldwin-hillscrenshaw,9
west-adams,5
pico-robertson,1
mid-city,8
mid-wilshire,7
exposition-park,17
jefferson-park,5
arlington-heights,5
harvard-heights,7
carthay,2
beverly-grove,3
fairfax,11
hancock-park,0
koreatown,22
windsor-square,1
hollywood,38
larchmont,2
vermont-vista,13
broadway-manchester,16
green-meadows,20
vermont-knolls,12
watts,13
vermont-slauson,20
florence,23
vermont-square,21
south-park,14
central-alameda,7
adams-normandie,4
university-park,4
historic-south-central,14
pico-union,10
downtown,53
westlake,37
east-hollywood,16
silver-lake,1
chinatown,0
echo-park,2
elysian-park,1
elysian-valley,0
cypress-park,1
boyle-heights,21
lincoln-heights,1
el-sereno,2
montecito-heights,1
woodland-hills,6
tarzana,2
encino,7
sepulveda-basin,1
west-hills,5
chatsworth-reservoir,0
canoga-park,7
winnetka,5
reseda,2
lake-balboa,3
northridge,8
north-hills,17
porter-ranch,0
granada-hills,5
beverly-crest,1
studio-city,4
sherman-oaks,7
valley-village,1
valley-glen,1
hollywood-hills-west,0
hollywood-hills,2
toluca-lake,0
north-hollywood,11
van-nuys,15
panorama-city,12
mission-hills,3
arleta,4
pacoima,10
sun-valley,10
hansen-dam,1
shadow-hills,2
sunland,6
los-feliz,3
griffith-park,1
atwater-village,2
glassell-park,2
mount-washington,0
highland-park,2
eagle-rock,1
tujunga,0
sylmar,12
lake-view-terrace,2
