Neighborhood,Crime Amount
san-pedro,62
pacific-palisades,3
brentwood,8
harbor-city,5
wilmington,36
harbor-gateway,26
playa-del-rey,5
westchester,18
venice,36
mar-vista,5
playa-vista,2
del-rey,7
gramercy-park,7
manchester-square,6
hyde-park,45
chesterfield-square,11
harvard-park,14
leimert-park,9
sawtelle,18
rancho-park,0
palms,12
west-los-angeles,2
century-city,3
cheviot-hills,3
beverlywood,3
westwood,10
bel-air,2
baldwin-hillscrenshaw,40
west-adams,19
pico-robertson,5
mid-city,34
mid-wilshire,24
exposition-park,55
jefferson-park,14
arlington-heights,18
harvard-heights,15
carthay,6
beverly-grove,13
fairfax,22
hancock-park,6
koreatown,88
windsor-square,3
hollywood,114
larchmont,4
vermont-vista,22
broadway-manchester,34
green-meadows,41
vermont-knolls,37
watts,55
vermont-slauson,26
florence,74
vermont-square,43
south-park,45
central-alameda,32
adams-normandie,15
university-park,12
historic-south-central,51
pico-union,34
downtown,252
westlake,104
east-hollywood,52
silver-lake,16
chinatown,9
echo-park,17
elysian-park,7
elysian-valley,5
cypress-park,8
boyle-heights,82
lincoln-heights,23
el-sereno,22
montecito-heights,3
woodland-hills,26
tarzana,16
encino,22
sepulveda-basin,2
west-hills,14
chatsworth-reservoir,0
canoga-park,56
winnetka,26
reseda,31
lake-balboa,7
northridge,23
north-hills,41
porter-ranch,2
granada-hills,9
beverly-crest,3
studio-city,26
sherman-oaks,28
valley-village,9
valley-glen,26
hollywood-hills-west,4
hollywood-hills,6
toluca-lake,1
north-hollywood,82
van-nuys,86
panorama-city,51
mission-hills,16
arleta,15
pacoima,40
sun-valley,48
hansen-dam,3
shadow-hills,4
sunland,6
los-feliz,16
griffith-park,0
atwater-village,3
glassell-park,7
mount-washington,5
highland-park,30
eagle-rock,11
tujunga,7
sylmar,28
lake-view-terrace,10
