Neighborhood,Crime Amount
san-pedro,25
pacific-palisades,8
brentwood,7
harbor-city,7
wilmington,6
harbor-gateway,11
playa-del-rey,6
westchester,32
venice,16
mar-vista,8
playa-vista,5
del-rey,11
gramercy-park,3
manchester-square,5
hyde-park,9
chesterfield-square,2
harvard-park,4
leimert-park,7
sawtelle,26
rancho-park,1
palms,13
west-los-angeles,8
century-city,7
cheviot-hills,5
beverlywood,0
westwood,19
bel-air,2
baldwin-hillscrenshaw,16
west-adams,4
pico-robertson,7
mid-city,16
mid-wilshire,18
exposition-park,7
jefferson-park,11
arlington-heights,3
harvard-heights,3
carthay,1
beverly-grove,15
fairfax,15
hancock-park,5
koreatown,33
windsor-square,3
hollywood,34
larchmont,3
vermont-vista,5
broadway-manchester,8
green-meadows,13
vermont-knolls,7
watts,7
vermont-slauson,7
florence,16
vermont-square,20
south-park,2
central-alameda,10
adams-normandie,4
university-park,5
historic-south-central,16
pico-union,6
downtown,46
westlake,21
east-hollywood,20
silver-lake,5
chinatown,3
echo-park,8
elysian-park,1
elysian-valley,1
cypress-park,1
boyle-heights,16
lincoln-heights,5
el-sereno,1
montecito-heights,3
woodland-hills,57
tarzana,19
encino,29
sepulveda-basin,0
west-hills,11
chatsworth-reservoir,0
canoga-park,24
winnetka,11
reseda,35
lake-balboa,7
northridge,21
north-hills,15
porter-ranch,15
granada-hills,21
beverly-crest,0
studio-city,17
sherman-oaks,43
valley-village,6
valley-glen,24
hollywood-hills-west,11
hollywood-hills,3
toluca-lake,2
north-hollywood,34
van-nuys,45
panorama-city,10
mission-hills,8
arleta,18
pacoima,20
sun-valley,26
hansen-dam,0
shadow-hills,3
sunland,8
los-feliz,11
griffith-park,2
atwater-village,3
glassell-park,9
mount-washington,6
highland-park,12
eagle-rock,10
tujunga,11
sylmar,10
lake-view-terrace,2
