Neighborhood,Crime Amount
san-pedro,34
pacific-palisades,9
brentwood,12
harbor-city,5
wilmington,12
harbor-gateway,9
playa-del-rey,3
westchester,31
venice,16
mar-vista,15
playa-vista,7
del-rey,12
gramercy-park,1
manchester-square,2
hyde-park,11
chesterfield-square,3
harvard-park,4
leimert-park,7
sawtelle,17
rancho-park,0
palms,11
west-los-angeles,4
century-city,6
cheviot-hills,0
beverlywood,4
westwood,14
bel-air,2
baldwin-hillscrenshaw,11
west-adams,5
pico-robertson,5
mid-city,14
mid-wilshire,22
exposition-park,10
jefferson-park,8
arlington-heights,9
harvard-heights,5
carthay,3
beverly-grove,15
fairfax,4
hancock-park,8
koreatown,26
windsor-square,1
hollywood,35
larchmont,0
vermont-vista,13
broadway-manchester,9
green-meadows,10
vermont-knolls,7
watts,13
vermont-slauson,11
florence,6
vermont-square,16
south-park,8
central-alameda,3
adams-normandie,1
university-park,6
historic-south-central,11
pico-union,17
downtown,43
westlake,35
east-hollywood,13
silver-lake,11
chinatown,2
echo-park,10
elysian-park,2
elysian-valley,0
cypress-park,1
boyle-heights,16
lincoln-heights,5
el-sereno,6
montecito-heights,8
woodland-hills,39
tarzana,15
encino,21
sepulveda-basin,0
west-hills,20
chatsworth-reservoir,0
canoga-park,19
winnetka,19
reseda,21
lake-balboa,10
northridge,36
north-hills,19
porter-ranch,15
granada-hills,17
beverly-crest,7
studio-city,16
sherman-oaks,55
valley-village,12
valley-glen,24
hollywood-hills-west,9
hollywood-hills,11
toluca-lake,2
north-hollywood,41
van-nuys,60
panorama-city,15
mission-hills,6
arleta,6
pacoima,13
sun-valley,19
hansen-dam,1
shadow-hills,4
sunland,6
los-feliz,11
griffith-park,1
atwater-village,5
glassell-park,8
mount-washington,4
highland-park,9
eagle-rock,12
tujunga,3
sylmar,15
lake-view-terrace,1
