Neighborhood,Crime Amount
san-pedro,12
pacific-palisades,0
brentwood,0
harbor-city,2
wilmington,8
harbor-gateway,5
playa-del-rey,0
westchester,3
venice,8
mar-vista,0
playa-vista,0
del-rey,1
gramercy-park,2
manchester-square,10
hyde-park,16
chesterfield-square,5
harvard-park,11
leimert-park,5
sawtelle,2
rancho-park,1
palms,7
west-los-angeles,1
century-city,1
cheviot-hills,0
beverlywood,2
westwood,2
bel-air,0
baldwin-hillscrenshaw,10
west-adams,5
pico-robertson,2
mid-city,10
mid-wilshire,2
exposition-park,14
jefferson-park,8
arlington-heights,6
harvard-heights,4
carthay,3
beverly-grove,8
fairfax,11
hancock-park,1
koreatown,28
windsor-square,1
hollywood,34
larchmont,1
vermont-vista,16
broadway-manchester,16
green-meadows,20
vermont-knolls,16
watts,15
vermont-slauson,13
florence,20
vermont-square,20
south-park,10
central-alameda,8
adams-normandie,3
university-park,7
historic-south-central,15
pico-union,9
downtown,46
westlake,43
east-hollywood,16
silver-lake,0
chinatown,3
echo-park,2
elysian-park,0
elysian-valley,0
cypress-park,2
boyle-heights,23
lincoln-heights,2
el-sereno,1
montecito-heights,1
woodland-hills,5
tarzana,3
encino,3
sepulveda-basin,4
west-hills,0
chatsworth-reservoir,0
canoga-park,15
winnetka,4
reseda,8
lake-balboa,5
northridge,9
north-hills,4
porter-ranch,0
granada-hills,3
beverly-crest,0
studio-city,3
sherman-oaks,4
valley-village,2
valley-glen,2
hollywood-hills-west,1
hollywood-hills,2
toluca-lake,1
north-hollywood,7
van-nuys,18
panorama-city,16
mission-hills,4
arleta,0
pacoima,10
sun-valley,10
hansen-dam,1
shadow-hills,0
sunland,0
los-feliz,2
griffith-park,0
atwater-village,2
glassell-park,6
mount-washington,0
highland-park,3
eagle-rock,2
tujunga,0
sylmar,6
lake-view-terrace,3
