Neighborhood,Crime Amount
san-pedro,85
pacific-palisades,25
brentwood,38
harbor-city,27
wilmington,53
harbor-gateway,49
playa-del-rey,9
westchester,109
venice,112
mar-vista,27
playa-vista,10
del-rey,26
gramercy-park,11
manchester-square,18
hyde-park,42
chesterfield-square,10
harvard-park,15
leimert-park,27
sawtelle,84
rancho-park,7
palms,49
west-los-angeles,25
century-city,14
cheviot-hills,9
beverlywood,4
westwood,51
bel-air,13
baldwin-hillscrenshaw,85
west-adams,19
pico-robertson,31
mid-city,68
mid-wilshire,61
exposition-park,48
jefferson-park,27
arlington-heights,26
harvard-heights,20
carthay,10
beverly-grove,67
fairfax,76
hancock-park,20
koreatown,176
windsor-square,8
hollywood,216
larchmont,10
vermont-vista,26
broadway-manchester,53
green-meadows,59
vermont-knolls,40
watts,64
vermont-slauson,42
florence,64
vermont-square,46
south-park,38
central-alameda,42
adams-normandie,14
university-park,59
historic-south-central,61
pico-union,58
downtown,446
westlake,160
east-hollywood,88
silver-lake,61
chinatown,23
echo-park,28
elysian-park,7
elysian-valley,7
cypress-park,7
boyle-heights,116
lincoln-heights,34
el-sereno,24
montecito-heights,8
woodland-hills,100
tarzana,57
encino,69
sepulveda-basin,5
west-hills,39
chatsworth-reservoir,0
canoga-park,148
winnetka,63
reseda,61
lake-balboa,24
northridge,95
north-hills,39
porter-ranch,18
granada-hills,46
beverly-crest,9
studio-city,83
sherman-oaks,111
valley-village,41
valley-glen,90
hollywood-hills-west,22
hollywood-hills,40
toluca-lake,12
north-hollywood,150
van-nuys,185
panorama-city,68
mission-hills,25
arleta,22
pacoima,53
sun-valley,92
hansen-dam,4
shadow-hills,14
sunland,12
los-feliz,74
griffith-park,18
atwater-village,24
glassell-park,20
mount-washington,5
highland-park,39
eagle-rock,49
tujunga,17
sylmar,39
lake-view-terrace,12
