Neighborhood,Crime Amount
san-pedro,17
pacific-palisades,3
brentwood,16
harbor-city,5
wilmington,26
harbor-gateway,16
playa-del-rey,3
westchester,18
venice,17
mar-vista,9
playa-vista,2
del-rey,16
gramercy-park,12
manchester-square,8
hyde-park,37
chesterfield-square,4
harvard-park,2
leimert-park,7
sawtelle,12
rancho-park,11
palms,10
west-los-angeles,7
century-city,5
cheviot-hills,15
beverlywood,3
westwood,17
bel-air,3
baldwin-hillscrenshaw,14
west-adams,11
pico-robertson,13
mid-city,8
mid-wilshire,23
exposition-park,9
jefferson-park,6
arlington-heights,3
harvard-heights,3
carthay,1
beverly-grove,21
fairfax,12
hancock-park,10
koreatown,38
windsor-square,4
hollywood,29
larchmont,9
vermont-vista,6
broadway-manchester,10
green-meadows,9
vermont-knolls,13
watts,8
vermont-slauson,4
florence,22
vermont-square,17
south-park,6
central-alameda,3
adams-normandie,5
university-park,4
historic-south-central,13
pico-union,8
downtown,40
westlake,18
east-hollywood,10
silver-lake,16
chinatown,3
echo-park,7
elysian-park,1
elysian-valley,0
cypress-park,1
boyle-heights,11
lincoln-heights,8
el-sereno,7
montecito-heights,3
woodland-hills,28
tarzana,18
encino,32
sepulveda-basin,2
west-hills,16
chatsworth-reservoir,0
canoga-park,17
winnetka,13
reseda,17
lake-balboa,7
northridge,17
north-hills,12
porter-ranch,5
granada-hills,12
beverly-crest,4
studio-city,23
sherman-oaks,35
valley-village,13
valley-glen,16
hollywood-hills-west,9
hollywood-hills,9
toluca-lake,7
north-hollywood,17
van-nuys,24
panorama-city,11
mission-hills,4
arleta,4
pacoima,10
sun-valley,17
hansen-dam,0
shadow-hills,3
sunland,4
los-feliz,15
griffith-park,1
atwater-village,3
glassell-park,8
mount-washington,1
highland-park,11
eagle-rock,12
tujunga,9
sylmar,6
lake-view-terrace,8
