Neighborhood,Crime Amount
san-pedro,52
pacific-palisades,2
brentwood,6
harbor-city,21
wilmington,43
harbor-gateway,20
playa-del-rey,3
westchester,48
venice,36
mar-vista,9
playa-vista,3
del-rey,22
gramercy-park,7
manchester-square,18
hyde-park,40
chesterfield-square,8
harvard-park,13
leimert-park,9
sawtelle,26
rancho-park,2
palms,13
west-los-angeles,4
century-city,6
cheviot-hills,8
beverlywood,1
westwood,22
bel-air,1
baldwin-hillscrenshaw,31
west-adams,19
pico-robertson,14
mid-city,33
mid-wilshire,17
exposition-park,45
jefferson-park,14
arlington-heights,19
harvard-heights,23
carthay,2
beverly-grove,16
fairfax,20
hancock-park,5
koreatown,107
windsor-square,1
hollywood,113
larchmont,5
vermont-vista,26
broadway-manchester,34
green-meadows,33
vermont-knolls,49
watts,48
vermont-slauson,36
florence,59
vermont-square,62
south-park,40
central-alameda,25
adams-normandie,17
university-park,13
historic-south-central,55
pico-union,30
downtown,220
westlake,118
east-hollywood,49
silver-lake,10
chinatown,6
echo-park,18
elysian-park,4
elysian-valley,8
cypress-park,11
boyle-heights,94
lincoln-heights,15
el-sereno,23
montecito-heights,6
woodland-hills,40
tarzana,14
encino,20
sepulveda-basin,1
west-hills,14
chatsworth-reservoir,0
canoga-park,46
winnetka,17
reseda,38
lake-balboa,6
northridge,45
north-hills,37
porter-ranch,6
granada-hills,16
beverly-crest,1
studio-city,33
sherman-oaks,25
valley-village,20
valley-glen,30
hollywood-hills-west,3
hollywood-hills,7
toluca-lake,3
north-hollywood,69
van-nuys,88
panorama-city,42
mission-hills,12
arleta,7
pacoima,53
sun-valley,48
hansen-dam,0
shadow-hills,7
sunland,2
los-feliz,12
griffith-park,3
atwater-village,3
glassell-park,10
mount-washington,1
highland-park,21
eagle-rock,16
tujunga,7
sylmar,26
lake-view-terrace,5
