Neighborhood,Crime Amount
san-pedro,39
pacific-palisades,5
brentwood,4
harbor-city,13
wilmington,34
harbor-gateway,10
playa-del-rey,4
westchester,22
venice,26
mar-vista,10
playa-vista,6
del-rey,11
gramercy-park,11
manchester-square,13
hyde-park,37
chesterfield-square,4
harvard-park,13
leimert-park,10
sawtelle,20
rancho-park,1
palms,12
west-los-angeles,2
century-city,1
cheviot-hills,1
beverlywood,2
westwood,9
bel-air,0
baldwin-hillscrenshaw,23
west-adams,10
pico-robertson,11
mid-city,26
mid-wilshire,14
exposition-park,19
jefferson-park,11
arlington-heights,8
harvard-heights,9
carthay,3
beverly-grove,11
fairfax,10
hancock-park,4
koreatown,69
windsor-square,1
hollywood,65
larchmont,3
vermont-vista,23
broadway-manchester,25
green-meadows,28
vermont-knolls,24
watts,25
vermont-slauson,24
florence,44
vermont-square,29
south-park,22
central-alameda,18
adams-normandie,8
university-park,9
historic-south-central,24
pico-union,29
downtown,108
westlake,60
east-hollywood,28
silver-lake,11
chinatown,7
echo-park,15
elysian-park,5
elysian-valley,5
cypress-park,7
boyle-heights,59
lincoln-heights,4
el-sereno,10
montecito-heights,2
woodland-hills,23
tarzana,15
encino,9
sepulveda-basin,1
west-hills,9
chatsworth-reservoir,0
canoga-park,26
winnetka,15
reseda,20
lake-balboa,6
northridge,18
north-hills,30
porter-ranch,1
granada-hills,17
beverly-crest,2
studio-city,12
sherman-oaks,20
valley-village,5
valley-glen,31
hollywood-hills-west,6
hollywood-hills,13
toluca-lake,2
north-hollywood,45
van-nuys,64
panorama-city,27
mission-hills,7
arleta,3
pacoima,24
sun-valley,34
hansen-dam,0
shadow-hills,11
sunland,5
los-feliz,16
griffith-park,1
atwater-village,3
glassell-park,13
mount-washington,2
highland-park,19
eagle-rock,4
tujunga,4
sylmar,19
lake-view-terrace,3
