Neighborhood,Crime Amount
san-pedro,11
pacific-palisades,2
brentwood,6
harbor-city,3
wilmington,4
harbor-gateway,6
playa-del-rey,1
westchester,6
venice,7
mar-vista,3
playa-vista,1
del-rey,1
gramercy-park,0
manchester-square,1
hyde-park,7
chesterfield-square,0
harvard-park,0
leimert-park,2
sawtelle,8
rancho-park,0
palms,7
west-los-angeles,3
century-city,1
cheviot-hills,1
beverlywood,1
westwood,5
bel-air,0
baldwin-hillscrenshaw,5
west-adams,4
pico-robertson,2
mid-city,7
mid-wilshire,3
exposition-park,3
jefferson-park,4
arlington-heights,2
harvard-heights,2
carthay,1
beverly-grove,4
fairfax,2
hancock-park,0
koreatown,22
windsor-square,0
hollywood,21
larchmont,1
vermont-vista,6
broadway-manchester,5
green-meadows,5
vermont-knolls,1
watts,5
vermont-slauson,5
florence,8
vermont-square,4
south-park,8
central-alameda,3
adams-normandie,0
university-park,4
historic-south-central,5
pico-union,8
downtown,37
westlake,17
east-hollywood,14
silver-lake,1
chinatown,4
echo-park,7
elysian-park,0
elysian-valley,0
cypress-park,0
boyle-heights,6
lincoln-heights,4
el-sereno,4
montecito-heights,1
woodland-hills,18
tarzana,9
encino,9
sepulveda-basin,0
west-hills,1
chatsworth-reservoir,0
canoga-park,6
winnetka,8
reseda,14
lake-balboa,3
northridge,5
north-hills,13
porter-ranch,1
granada-hills,5
beverly-crest,1
studio-city,2
sherman-oaks,10
valley-village,4
valley-glen,7
hollywood-hills-west,1
hollywood-hills,2
toluca-lake,1
north-hollywood,12
van-nuys,12
panorama-city,6
mission-hills,4
arleta,1
pacoima,6
sun-valley,15
hansen-dam,1
shadow-hills,0
sunland,3
los-feliz,5
griffith-park,0
atwater-village,2
glassell-park,2
mount-washington,0
highland-park,6
eagle-rock,0
tujunga,3
sylmar,9
lake-view-terrace,2
