Neighborhood,Crime Amount
san-pedro,27
pacific-palisades,3
brentwood,15
harbor-city,3
wilmington,9
harbor-gateway,8
playa-del-rey,3
westchester,41
venice,12
mar-vista,12
playa-vista,7
del-rey,2
gramercy-park,3
manchester-square,2
hyde-park,14
chesterfield-square,5
harvard-park,2
leimert-park,7
sawtelle,22
rancho-park,3
palms,9
west-los-angeles,5
century-city,3
cheviot-hills,1
beverlywood,2
westwood,14
bel-air,9
baldwin-hillscrenshaw,13
west-adams,3
pico-robertson,6
mid-city,16
mid-wilshire,15
exposition-park,9
jefferson-park,5
arlington-heights,4
harvard-heights,7
carthay,2
beverly-grove,10
fairfax,14
hancock-park,4
koreatown,41
windsor-square,1
hollywood,44
larchmont,2
vermont-vista,5
broadway-manchester,9
green-meadows,12
vermont-knolls,8
watts,11
vermont-slauson,8
florence,16
vermont-square,9
south-park,9
central-alameda,9
adams-normandie,6
university-park,6
historic-south-central,12
pico-union,12
downtown,41
westlake,30
east-hollywood,16
silver-lake,13
chinatown,4
echo-park,6
elysian-park,1
elysian-valley,0
cypress-park,0
boyle-heights,19
lincoln-heights,3
el-sereno,7
montecito-heights,6
woodland-hills,45
tarzana,20
encino,32
sepulveda-basin,1
west-hills,21
chatsworth-reservoir,1
canoga-park,40
winnetka,18
reseda,21
lake-balboa,9
northridge,41
north-hills,29
porter-ranch,6
granada-hills,36
beverly-crest,5
studio-city,15
sherman-oaks,38
valley-village,15
valley-glen,18
hollywood-hills-west,5
hollywood-hills,20
toluca-lake,1
north-hollywood,41
van-nuys,55
panorama-city,14
mission-hills,6
arleta,3
pacoima,27
sun-valley,28
hansen-dam,0
shadow-hills,5
sunland,4
los-feliz,9
griffith-park,1
atwater-village,2
glassell-park,7
mount-washington,0
highland-park,12
eagle-rock,8
tujunga,11
sylmar,35
lake-view-terrace,16
