Neighborhood,Crime Amount
san-pedro,19
pacific-palisades,2
brentwood,4
harbor-city,14
wilmington,26
harbor-gateway,18
playa-del-rey,3
westchester,32
venice,12
mar-vista,4
playa-vista,7
del-rey,7
gramercy-park,5
manchester-square,8
hyde-park,17
chesterfield-square,4
harvard-park,6
leimert-park,4
sawtelle,15
rancho-park,1
palms,7
west-los-angeles,2
century-city,1
cheviot-hills,2
beverlywood,0
westwood,7
bel-air,3
baldwin-hillscrenshaw,9
west-adams,10
pico-robertson,7
mid-city,15
mid-wilshire,10
exposition-park,7
jefferson-park,11
arlington-heights,7
harvard-heights,5
carthay,0
beverly-grove,6
fairfax,4
hancock-park,4
koreatown,29
windsor-square,2
hollywood,29
larchmont,2
vermont-vista,23
broadway-manchester,24
green-meadows,26
vermont-knolls,25
watts,19
vermont-slauson,22
florence,42
vermont-square,22
south-park,17
central-alameda,16
adams-normandie,0
university-park,2
historic-south-central,28
pico-union,20
downtown,40
westlake,31
east-hollywood,22
silver-lake,17
chinatown,8
echo-park,13
elysian-park,1
elysian-valley,2
cypress-park,4
boyle-heights,63
lincoln-heights,11
el-sereno,6
montecito-heights,3
woodland-hills,11
tarzana,8
encino,6
sepulveda-basin,1
west-hills,5
chatsworth-reservoir,0
canoga-park,23
winnetka,19
reseda,29
lake-balboa,5
northridge,17
north-hills,23
porter-ranch,1
granada-hills,15
beverly-crest,1
studio-city,8
sherman-oaks,10
valley-village,7
valley-glen,20
hollywood-hills-west,6
hollywood-hills,5
toluca-lake,3
north-hollywood,41
van-nuys,41
panorama-city,42
mission-hills,6
arleta,15
pacoima,33
sun-valley,40
hansen-dam,2
shadow-hills,11
sunland,2
los-feliz,15
griffith-park,2
atwater-village,6
glassell-park,18
mount-washington,3
highland-park,26
eagle-rock,8
tujunga,5
sylmar,24
lake-view-terrace,3
