Neighborhood,Crime Amount
san-pedro,31
pacific-palisades,4
brentwood,7
harbor-city,5
wilmington,18
harbor-gateway,17
playa-del-rey,2
westchester,23
venice,23
mar-vista,9
playa-vista,3
del-rey,7
gramercy-park,5
manchester-square,11
hyde-park,19
chesterfield-square,8
harvard-park,6
leimert-park,7
sawtelle,17
rancho-park,8
palms,6
west-los-angeles,6
century-city,0
cheviot-hills,2
beverlywood,0
westwood,8
bel-air,3
baldwin-hillscrenshaw,27
west-adams,12
pico-robertson,7
mid-city,21
mid-wilshire,13
exposition-park,18
jefferson-park,12
arlington-heights,7
harvard-heights,16
carthay,1
beverly-grove,15
fairfax,9
hancock-park,5
koreatown,53
windsor-square,5
hollywood,76
larchmont,6
vermont-vista,16
broadway-manchester,25
green-meadows,19
vermont-knolls,16
watts,21
vermont-slauson,21
florence,24
vermont-square,27
south-park,9
central-alameda,16
adams-normandie,6
university-park,16
historic-south-central,29
pico-union,27
downtown,112
westlake,53
east-hollywood,25
silver-lake,16
chinatown,6
echo-park,17
elysian-park,2
elysian-valley,2
cypress-park,4
boyle-heights,42
lincoln-heights,12
el-sereno,12
montecito-heights,3
woodland-hills,18
tarzana,15
encino,14
sepulveda-basin,1
west-hills,9
chatsworth-reservoir,0
canoga-park,13
winnetka,27
reseda,27
lake-balboa,10
northridge,32
north-hills,26
porter-ranch,6
granada-hills,21
beverly-crest,2
studio-city,13
sherman-oaks,18
valley-village,7
valley-glen,18
hollywood-hills-west,3
hollywood-hills,15
toluca-lake,1
north-hollywood,53
van-nuys,47
panorama-city,27
mission-hills,11
arleta,10
pacoima,27
sun-valley,32
hansen-dam,1
shadow-hills,6
sunland,6
los-feliz,10
griffith-park,4
atwater-village,8
glassell-park,13
mount-washington,3
highland-park,24
eagle-rock,12
tujunga,6
sylmar,27
lake-view-terrace,3
