Neighborhood,Crime Amount
san-pedro,84
pacific-palisades,19
brentwood,30
harbor-city,25
wilmington,62
harbor-gateway,38
playa-del-rey,7
westchester,126
venice,73
mar-vista,37
playa-vista,20
del-rey,34
gramercy-park,11
manchester-square,17
hyde-park,32
chesterfield-square,12
harvard-park,24
leimert-park,32
sawtelle,75
rancho-park,4
palms,52
west-los-angeles,27
century-city,21
cheviot-hills,11
beverlywood,8
westwood,30
bel-air,1
baldwin-hillscrenshaw,101
west-adams,30
pico-robertson,23
mid-city,56
mid-wilshire,74
exposition-park,50
jefferson-park,23
arlington-heights,19
harvard-heights,35
carthay,6
beverly-grove,78
fairfax,64
hancock-park,20
koreatown,141
windsor-square,8
hollywood,224
larchmont,11
vermont-vista,27
broadway-manchester,30
green-meadows,38
vermont-knolls,35
watts,38
vermont-slauson,30
florence,51
vermont-square,45
south-park,18
central-alameda,34
adams-normandie,21
university-park,93
historic-south-central,40
pico-union,61
downtown,454
westlake,131
east-hollywood,84
silver-lake,51
chinatown,22
echo-park,50
elysian-park,5
elysian-valley,1
cypress-park,16
boyle-heights,72
lincoln-heights,29
el-sereno,17
montecito-heights,9
woodland-hills,98
tarzana,46
encino,71
sepulveda-basin,5
west-hills,39
chatsworth-reservoir,0
canoga-park,124
winnetka,47
reseda,79
lake-balboa,30
northridge,99
north-hills,59
porter-ranch,16
granada-hills,73
beverly-crest,4
studio-city,98
sherman-oaks,120
valley-village,44
valley-glen,91
hollywood-hills-west,29
hollywood-hills,48
toluca-lake,12
north-hollywood,117
van-nuys,164
panorama-city,67
mission-hills,31
arleta,26
pacoima,61
sun-valley,92
hansen-dam,2
shadow-hills,10
sunland,18
los-feliz,50
griffith-park,13
atwater-village,18
glassell-park,19
mount-washington,11
highland-park,31
eagle-rock,21
tujunga,19
sylmar,42
lake-view-terrace,7
