Neighborhood,Crime Amount
san-pedro,18
pacific-palisades,10
brentwood,8
harbor-city,5
wilmington,24
harbor-gateway,10
playa-del-rey,2
westchester,42
venice,22
mar-vista,18
playa-vista,3
del-rey,5
gramercy-park,4
manchester-square,7
hyde-park,12
chesterfield-square,6
harvard-park,4
leimert-park,8
sawtelle,16
rancho-park,1
palms,8
west-los-angeles,12
century-city,2
cheviot-hills,8
beverlywood,4
westwood,12
bel-air,3
baldwin-hillscrenshaw,14
west-adams,4
pico-robertson,9
mid-city,44
mid-wilshire,16
exposition-park,6
jefferson-park,9
arlington-heights,6
harvard-heights,2
carthay,3
beverly-grove,12
fairfax,11
hancock-park,10
koreatown,23
windsor-square,7
hollywood,18
larchmont,4
vermont-vista,6
broadway-manchester,8
green-meadows,11
vermont-knolls,6
watts,10
vermont-slauson,10
florence,8
vermont-square,15
south-park,3
central-alameda,6
adams-normandie,3
university-park,6
historic-south-central,7
pico-union,8
downtown,40
westlake,23
east-hollywood,10
silver-lake,10
chinatown,2
echo-park,9
elysian-park,1
elysian-valley,4
cypress-park,3
boyle-heights,27
lincoln-heights,7
el-sereno,11
montecito-heights,5
woodland-hills,28
tarzana,11
encino,24
sepulveda-basin,1
west-hills,18
chatsworth-reservoir,0
canoga-park,22
winnetka,16
reseda,8
lake-balboa,9
northridge,29
north-hills,7
porter-ranch,15
granada-hills,17
beverly-crest,0
studio-city,13
sherman-oaks,20
valley-village,4
valley-glen,9
hollywood-hills-west,8
hollywood-hills,17
toluca-lake,7
north-hollywood,23
van-nuys,28
panorama-city,16
mission-hills,10
arleta,0
pacoima,7
sun-valley,26
hansen-dam,1
shadow-hills,9
sunland,4
los-feliz,12
griffith-park,0
atwater-village,3
glassell-park,7
mount-washington,4
highland-park,4
eagle-rock,4
tujunga,10
sylmar,12
lake-view-terrace,3
