Neighborhood,Crime Amount
san-pedro,8
pacific-palisades,2
brentwood,3
harbor-city,3
wilmington,6
harbor-gateway,2
playa-del-rey,0
westchester,9
venice,7
mar-vista,0
playa-vista,0
del-rey,1
gramercy-park,3
manchester-square,3
hyde-park,13
chesterfield-square,6
harvard-park,9
leimert-park,4
sawtelle,3
rancho-park,0
palms,3
west-los-angeles,0
century-city,0
cheviot-hills,0
beverlywood,0
westwood,2
bel-air,0
baldwin-hillscrenshaw,18
west-adams,5
pico-robertson,0
mid-city,18
mid-wilshire,6
exposition-park,15
jefferson-park,6
arlington-heights,4
harvard-heights,5
carthay,0
beverly-grove,4
fairfax,4
hancock-park,0
koreatown,24
windsor-square,0
hollywood,23
larchmont,1
vermont-vista,8
broadway-manchester,10
green-meadows,16
vermont-knolls,10
watts,11
vermont-slauson,15
florence,17
vermont-square,14
south-park,8
central-alameda,10
adams-normandie,4
university-park,6
historic-south-central,18
pico-union,15
downtown,68
westlake,31
east-hollywood,12
silver-lake,2
chinatown,2
echo-park,3
elysian-park,0
elysian-valley,0
cypress-park,1
boyle-heights,14
lincoln-heights,4
el-sereno,3
montecito-heights,0
woodland-hills,9
tarzana,3
encino,4
sepulveda-basin,0
west-hills,4
chatsworth-reservoir,0
canoga-park,14
winnetka,5
reseda,12
lake-balboa,5
northridge,4
north-hills,7
porter-ranch,0
granada-hills,2
beverly-crest,2
studio-city,4
sherman-oaks,7
valley-village,0
valley-glen,7
hollywood-hills-west,2
hollywood-hills,4
toluca-lake,0
north-hollywood,6
van-nuys,10
panorama-city,8
mission-hills,5
arleta,1
pacoima,5
sun-valley,8
hansen-dam,0
shadow-hills,0
sunland,0
los-feliz,5
griffith-park,0
atwater-village,2
glassell-park,1
mount-washington,0
highland-park,9
eagle-rock,2
tujunga,1
sylmar,8
lake-view-terrace,0
