Neighborhood,Crime Amount
san-pedro,84
pacific-palisades,15
brentwood,32
harbor-city,17
wilmington,67
harbor-gateway,35
playa-del-rey,10
westchester,133
venice,87
mar-vista,33
playa-vista,13
del-rey,33
gramercy-park,19
manchester-square,26
hyde-park,36
chesterfield-square,12
harvard-park,25
leimert-park,36
sawtelle,81
rancho-park,7
palms,42
west-los-angeles,15
century-city,26
cheviot-hills,6
beverlywood,5
westwood,29
bel-air,10
baldwin-hillscrenshaw,102
west-adams,14
pico-robertson,23
mid-city,50
mid-wilshire,63
exposition-park,50
jefferson-park,23
arlington-heights,30
harvard-heights,22
carthay,5
beverly-grove,81
fairfax,73
hancock-park,11
koreatown,150
windsor-square,13
hollywood,208
larchmont,11
vermont-vista,42
broadway-manchester,53
green-meadows,41
vermont-knolls,38
watts,42
vermont-slauson,42
florence,70
vermont-square,72
south-park,23
central-alameda,34
adams-normandie,25
university-park,82
historic-south-central,72
pico-union,56
downtown,424
westlake,122
east-hollywood,69
silver-lake,55
chinatown,20
echo-park,41
elysian-park,5
elysian-valley,9
cypress-park,11
boyle-heights,119
lincoln-heights,31
el-sereno,23
montecito-heights,15
woodland-hills,89
tarzana,42
encino,61
sepulveda-basin,9
west-hills,40
chatsworth-reservoir,0
canoga-park,143
winnetka,40
reseda,56
lake-balboa,27
northridge,102
north-hills,55
porter-ranch,33
granada-hills,65
beverly-crest,5
studio-city,89
sherman-oaks,107
valley-village,31
valley-glen,63
hollywood-hills-west,22
hollywood-hills,39
toluca-lake,19
north-hollywood,120
van-nuys,139
panorama-city,64
mission-hills,20
arleta,13
pacoima,56
sun-valley,82
hansen-dam,0
shadow-hills,23
sunland,14
los-feliz,41
griffith-park,17
atwater-village,18
glassell-park,25
mount-washington,11
highland-park,41
eagle-rock,47
tujunga,15
sylmar,58
lake-view-terrace,4
