Neighborhood,Crime Amount
san-pedro,36
pacific-palisades,6
brentwood,5
harbor-city,10
wilmington,24
harbor-gateway,21
playa-del-rey,3
westchester,25
venice,21
mar-vista,12
playa-vista,1
del-rey,10
gramercy-park,8
manchester-square,10
hyde-park,19
chesterfield-square,3
harvard-park,5
leimert-park,16
sawtelle,16
rancho-park,2
palms,12
west-los-angeles,9
century-city,3
cheviot-hills,2
beverlywood,0
westwood,9
bel-air,4
baldwin-hillscrenshaw,21
west-adams,9
pico-robertson,3
mid-city,21
mid-wilshire,26
exposition-park,23
jefferson-park,9
arlington-heights,12
harvard-heights,6
carthay,1
beverly-grove,17
fairfax,19
hancock-park,3
koreatown,58
windsor-square,1
hollywood,94
larchmont,2
vermont-vista,16
broadway-manchester,20
green-meadows,23
vermont-knolls,17
watts,17
vermont-slauson,16
florence,33
vermont-square,21
south-park,17
central-alameda,19
adams-normandie,8
university-park,12
historic-south-central,19
pico-union,34
downtown,98
westlake,41
east-hollywood,35
silver-lake,10
chinatown,6
echo-park,15
elysian-park,2
elysian-valley,7
cypress-park,5
boyle-heights,40
lincoln-heights,11
el-sereno,12
montecito-heights,6
woodland-hills,15
tarzana,5
encino,12
sepulveda-basin,2
west-hills,8
chatsworth-reservoir,1
canoga-park,28
winnetka,11
reseda,27
lake-balboa,6
northridge,20
north-hills,18
porter-ranch,3
granada-hills,15
beverly-crest,4
studio-city,15
sherman-oaks,24
valley-village,9
valley-glen,20
hollywood-hills-west,2
hollywood-hills,9
toluca-lake,2
north-hollywood,48
van-nuys,52
panorama-city,28
mission-hills,12
arleta,12
pacoima,29
sun-valley,42
hansen-dam,1
shadow-hills,3
sunland,6
los-feliz,19
griffith-park,2
atwater-village,3
glassell-park,8
mount-washington,5
highland-park,20
eagle-rock,9
tujunga,8
sylmar,25
lake-view-terrace,3
