Neighborhood,Crime Amount
san-pedro,32
pacific-palisades,2
brentwood,6
harbor-city,13
wilmington,32
harbor-gateway,26
playa-del-rey,1
westchester,32
venice,16
mar-vista,8
playa-vista,6
del-rey,5
gramercy-park,10
manchester-square,13
hyde-park,11
chesterfield-square,6
harvard-park,6
leimert-park,6
sawtelle,9
rancho-park,0
palms,15
west-los-angeles,3
century-city,3
cheviot-hills,2
beverlywood,1
westwood,4
bel-air,2
baldwin-hillscrenshaw,9
west-adams,12
pico-robertson,4
mid-city,16
mid-wilshire,17
exposition-park,13
jefferson-park,3
arlington-heights,5
harvard-heights,7
carthay,3
beverly-grove,8
fairfax,8
hancock-park,2
koreatown,29
windsor-square,1
hollywood,25
larchmont,0
vermont-vista,22
broadway-manchester,18
green-meadows,35
vermont-knolls,17
watts,29
vermont-slauson,25
florence,51
vermont-square,28
south-park,33
central-alameda,15
adams-normandie,8
university-park,3
historic-south-central,22
pico-union,16
downtown,37
westlake,37
east-hollywood,17
silver-lake,12
chinatown,5
echo-park,14
elysian-park,1
elysian-valley,3
cypress-park,9
boyle-heights,48
lincoln-heights,21
el-sereno,12
montecito-heights,5
woodland-hills,10
tarzana,8
encino,8
sepulveda-basin,0
west-hills,2
chatsworth-reservoir,0
canoga-park,23
winnetka,17
reseda,22
lake-balboa,9
northridge,17
north-hills,24
porter-ranch,1
granada-hills,12
beverly-crest,1
studio-city,13
sherman-oaks,20
valley-village,7
valley-glen,15
hollywood-hills-west,0
hollywood-hills,6
toluca-lake,2
north-hollywood,31
van-nuys,55
panorama-city,30
mission-hills,2
arleta,13
pacoima,17
sun-valley,39
hansen-dam,1
shadow-hills,3
sunland,1
los-feliz,9
griffith-park,1
atwater-village,7
glassell-park,9
mount-washington,3
highland-park,29
eagle-rock,11
tujunga,8
sylmar,23
lake-view-terrace,2
