Neighborhood,Crime Amount
san-pedro,52
pacific-palisades,4
brentwood,8
harbor-city,19
wilmington,40
harbor-gateway,20
playa-del-rey,5
westchester,26
venice,31
mar-vista,6
playa-vista,3
del-rey,9
gramercy-park,21
manchester-square,16
hyde-park,38
chesterfield-square,10
harvard-park,24
leimert-park,23
sawtelle,25
rancho-park,0
palms,15
west-los-angeles,5
century-city,5
cheviot-hills,1
beverlywood,3
westwood,19
bel-air,1
baldwin-hillscrenshaw,30
west-adams,17
pico-robertson,9
mid-city,31
mid-wilshire,19
exposition-park,26
jefferson-park,15
arlington-heights,16
harvard-heights,16
carthay,2
beverly-grove,13
fairfax,17
hancock-park,3
koreatown,82
windsor-square,1
hollywood,89
larchmont,3
vermont-vista,35
broadway-manchester,50
green-meadows,39
vermont-knolls,33
watts,51
vermont-slauson,32
florence,74
vermont-square,51
south-park,33
central-alameda,33
adams-normandie,8
university-park,19
historic-south-central,60
pico-union,40
downtown,225
westlake,128
east-hollywood,58
silver-lake,19
chinatown,7
echo-park,21
elysian-park,3
elysian-valley,4
cypress-park,6
boyle-heights,73
lincoln-heights,21
el-sereno,24
montecito-heights,8
woodland-hills,34
tarzana,14
encino,11
sepulveda-basin,1
west-hills,9
chatsworth-reservoir,0
canoga-park,34
winnetka,26
reseda,46
lake-balboa,13
northridge,26
north-hills,28
porter-ranch,5
granada-hills,20
beverly-crest,2
studio-city,19
sherman-oaks,23
valley-village,9
valley-glen,34
hollywood-hills-west,7
hollywood-hills,4
toluca-lake,3
north-hollywood,69
van-nuys,86
panorama-city,31
mission-hills,13
arleta,12
pacoima,52
sun-valley,43
hansen-dam,5
shadow-hills,1
sunland,6
los-feliz,14
griffith-park,0
atwater-village,6
glassell-park,15
mount-washington,1
highland-park,28
eagle-rock,15
tujunga,8
sylmar,28
lake-view-terrace,4
