Neighborhood,Crime Amount
san-pedro,32
pacific-palisades,3
brentwood,10
harbor-city,4
wilmington,19
harbor-gateway,12
playa-del-rey,1
westchester,18
venice,15
mar-vista,6
playa-vista,3
del-rey,5
gramercy-park,0
manchester-square,4
hyde-park,23
chesterfield-square,8
harvard-park,8
leimert-park,9
sawtelle,13
rancho-park,2
palms,2
west-los-angeles,7
century-city,1
cheviot-hills,2
beverlywood,4
westwood,12
bel-air,0
baldwin-hillscrenshaw,21
west-adams,11
pico-robertson,7
mid-city,29
mid-wilshire,17
exposition-park,18
jefferson-park,8
arlington-heights,12
harvard-heights,14
carthay,2
beverly-grove,8
fairfax,8
hancock-park,8
koreatown,43
windsor-square,1
hollywood,62
larchmont,4
vermont-vista,20
broadway-manchester,15
green-meadows,19
vermont-knolls,21
watts,30
vermont-slauson,17
florence,33
vermont-square,17
south-park,24
central-alameda,10
adams-normandie,5
university-park,6
historic-south-central,23
pico-union,23
downtown,99
westlake,41
east-hollywood,34
silver-lake,10
chinatown,13
echo-park,16
elysian-park,1
elysian-valley,5
cypress-park,4
boyle-heights,56
lincoln-heights,16
el-sereno,15
montecito-heights,4
woodland-hills,21
tarzana,14
encino,13
sepulveda-basin,3
west-hills,7
chatsworth-reservoir,0
canoga-park,23
winnetka,15
reseda,24
lake-balboa,7
northridge,15
north-hills,16
porter-ranch,3
granada-hills,9
beverly-crest,3
studio-city,18
sherman-oaks,16
valley-village,11
valley-glen,16
hollywood-hills-west,5
hollywood-hills,7
toluca-lake,3
north-hollywood,25
van-nuys,32
panorama-city,19
mission-hills,4
arleta,4
pacoima,22
sun-valley,17
hansen-dam,2
shadow-hills,2
sunland,5
los-feliz,12
griffith-park,0
atwater-village,1
glassell-park,6
mount-washington,2
highland-park,16
eagle-rock,10
tujunga,6
sylmar,17
lake-view-terrace,4
