Neighborhood,Crime Amount
san-pedro,64
pacific-palisades,15
brentwood,27
harbor-city,25
wilmington,48
harbor-gateway,24
playa-del-rey,7
westchester,125
venice,69
mar-vista,34
playa-vista,19
del-rey,30
gramercy-park,11
manchester-square,13
hyde-park,44
chesterfield-square,12
harvard-park,23
leimert-park,25
sawtelle,71
rancho-park,7
palms,41
west-los-angeles,24
century-city,24
cheviot-hills,8
beverlywood,2
westwood,33
bel-air,7
baldwin-hillscrenshaw,88
west-adams,19
pico-robertson,25
mid-city,42
mid-wilshire,50
exposition-park,54
jefferson-park,20
arlington-heights,18
harvard-heights,30
carthay,4
beverly-grove,58
fairfax,60
hancock-park,17
koreatown,155
windsor-square,10
hollywood,198
larchmont,10
vermont-vista,37
broadway-manchester,27
green-meadows,47
vermont-knolls,47
watts,34
vermont-slauson,44
florence,65
vermont-square,47
south-park,38
central-alameda,39
adams-normandie,18
university-park,94
historic-south-central,57
pico-union,57
downtown,341
westlake,148
east-hollywood,57
silver-lake,44
chinatown,23
echo-park,41
elysian-park,3
elysian-valley,6
cypress-park,9
boyle-heights,77
lincoln-heights,37
el-sereno,20
montecito-heights,13
woodland-hills,81
tarzana,31
encino,53
sepulveda-basin,5
west-hills,47
chatsworth-reservoir,3
canoga-park,105
winnetka,37
reseda,62
lake-balboa,23
northridge,98
north-hills,65
porter-ranch,20
granada-hills,64
beverly-crest,7
studio-city,72
sherman-oaks,103
valley-village,37
valley-glen,78
hollywood-hills-west,23
hollywood-hills,43
toluca-lake,12
north-hollywood,122
van-nuys,138
panorama-city,65
mission-hills,25
arleta,9
pacoima,63
sun-valley,74
hansen-dam,1
shadow-hills,18
sunland,9
los-feliz,50
griffith-park,15
atwater-village,19
glassell-park,23
mount-washington,8
highland-park,35
eagle-rock,36
tujunga,21
sylmar,52
lake-view-terrace,13
