Neighborhood,Crime Amount
san-pedro,23
pacific-palisades,8
brentwood,13
harbor-city,7
wilmington,7
harbor-gateway,8
playa-del-rey,0
westchester,29
venice,10
mar-vista,10
playa-vista,1
del-rey,16
gramercy-park,6
manchester-square,6
hyde-park,18
chesterfield-square,3
harvard-park,4
leimert-park,8
sawtelle,15
rancho-park,2
palms,12
west-los-angeles,7
century-city,6
cheviot-hills,2
beverlywood,0
westwood,9
bel-air,7
baldwin-hillscrenshaw,15
west-adams,1
pico-robertson,8
mid-city,14
mid-wilshire,19
exposition-park,8
jefferson-park,6
arlington-heights,5
harvard-heights,3
carthay,4
beverly-grove,17
fairfax,10
hancock-park,6
koreatown,30
windsor-square,3
hollywood,41
larchmont,2
vermont-vista,14
broadway-manchester,9
green-meadows,8
vermont-knolls,4
watts,10
vermont-slauson,6
florence,12
vermont-square,17
south-park,3
central-alameda,5
adams-normandie,4
university-park,9
historic-south-central,15
pico-union,10
downtown,42
westlake,20
east-hollywood,10
silver-lake,6
chinatown,1
echo-park,7
elysian-park,2
elysian-valley,1
cypress-park,1
boyle-heights,11
lincoln-heights,4
el-sereno,11
montecito-heights,3
woodland-hills,34
tarzana,14
encino,18
sepulveda-basin,0
west-hills,18
chatsworth-reservoir,0
canoga-park,31
winnetka,14
reseda,25
lake-balboa,15
northridge,33
north-hills,18
porter-ranch,14
granada-hills,18
beverly-crest,5
studio-city,19
sherman-oaks,32
valley-village,8
valley-glen,21
hollywood-hills-west,6
hollywood-hills,12
toluca-lake,4
north-hollywood,48
van-nuys,35
panorama-city,20
mission-hills,11
arleta,6
pacoima,16
sun-valley,30
hansen-dam,0
shadow-hills,4
sunland,6
los-feliz,9
griffith-park,1
atwater-village,4
glassell-park,8
mount-washington,3
highland-park,7
eagle-rock,7
tujunga,7
sylmar,15
lake-view-terrace,2
