Neighborhood,Crime Amount
san-pedro,11
pacific-palisades,3
brentwood,9
harbor-city,8
wilmington,13
harbor-gateway,10
playa-del-rey,3
westchester,13
venice,32
mar-vista,7
playa-vista,6
del-rey,9
gramercy-park,5
manchester-square,2
hyde-park,15
chesterfield-square,7
harvard-park,5
leimert-park,11
sawtelle,17
rancho-park,1
palms,12
west-los-angeles,7
century-city,5
cheviot-hills,3
beverlywood,3
westwood,13
bel-air,7
baldwin-hillscrenshaw,14
west-adams,9
pico-robertson,16
mid-city,27
mid-wilshire,20
exposition-park,7
jefferson-park,3
arlington-heights,10
harvard-heights,5
carthay,3
beverly-grove,17
fairfax,6
hancock-park,8
koreatown,29
windsor-square,5
hollywood,23
larchmont,2
vermont-vista,9
broadway-manchester,10
green-meadows,9
vermont-knolls,9
watts,10
vermont-slauson,10
florence,10
vermont-square,20
south-park,4
central-alameda,7
adams-normandie,3
university-park,2
historic-south-central,10
pico-union,5
downtown,21
westlake,27
east-hollywood,16
silver-lake,7
chinatown,0
echo-park,7
elysian-park,0
elysian-valley,3
cypress-park,3
boyle-heights,18
lincoln-heights,5
el-sereno,9
montecito-heights,1
woodland-hills,31
tarzana,25
encino,28
sepulveda-basin,0
west-hills,2
chatsworth-reservoir,0
canoga-park,12
winnetka,16
reseda,24
lake-balboa,16
northridge,9
north-hills,8
porter-ranch,17
granada-hills,10
beverly-crest,6
studio-city,15
sherman-oaks,19
valley-village,5
valley-glen,19
hollywood-hills-west,6
hollywood-hills,5
toluca-lake,2
north-hollywood,18
van-nuys,21
panorama-city,17
mission-hills,7
arleta,4
pacoima,11
sun-valley,17
hansen-dam,0
shadow-hills,2
sunland,3
los-feliz,15
griffith-park,0
atwater-village,1
glassell-park,9
mount-washington,0
highland-park,8
eagle-rock,6
tujunga,4
sylmar,9
lake-view-terrace,1
