Neighborhood,Crime Amount
san-pedro,39
pacific-palisades,1
brentwood,7
harbor-city,9
wilmington,32
harbor-gateway,10
playa-del-rey,2
westchester,23
venice,13
mar-vista,6
playa-vista,2
del-rey,5
gramercy-park,6
manchester-square,6
hyde-park,17
chesterfield-square,8
harvard-park,5
leimert-park,5
sawtelle,6
rancho-park,2
palms,12
west-los-angeles,1
century-city,2
cheviot-hills,1
beverlywood,1
westwood,4
bel-air,0
baldwin-hillscrenshaw,10
west-adams,9
pico-robertson,4
mid-city,13
mid-wilshire,4
exposition-park,12
jefferson-park,8
arlington-heights,9
harvard-heights,4
carthay,2
beverly-grove,4
fairfax,7
hancock-park,1
koreatown,25
windsor-square,3
hollywood,26
larchmont,2
vermont-vista,16
broadway-manchester,16
green-meadows,27
vermont-knolls,21
watts,23
vermont-slauson,23
florence,31
vermont-square,30
south-park,19
central-alameda,16
adams-normandie,13
university-park,8
historic-south-central,22
pico-union,20
downtown,32
westlake,30
east-hollywood,17
silver-lake,14
chinatown,1
echo-park,11
elysian-park,1
elysian-valley,1
cypress-park,4
boyle-heights,49
lincoln-heights,15
el-sereno,25
montecito-heights,6
woodland-hills,7
tarzana,5
encino,2
sepulveda-basin,1
west-hills,1
chatsworth-reservoir,1
canoga-park,24
winnetka,19
reseda,25
lake-balboa,8
northridge,12
north-hills,38
porter-ranch,2
granada-hills,11
beverly-crest,1
studio-city,8
sherman-oaks,14
valley-village,6
valley-glen,21
hollywood-hills-west,3
hollywood-hills,4
toluca-lake,0
north-hollywood,26
van-nuys,28
panorama-city,33
mission-hills,10
arleta,15
pacoima,37
sun-valley,35
hansen-dam,1
shadow-hills,6
sunland,5
los-feliz,6
griffith-park,2
atwater-village,12
glassell-park,2
mount-washington,2
highland-park,17
eagle-rock,5
tujunga,9
sylmar,19
lake-view-terrace,5
