Neighborhood,Crime Amount
san-pedro,55
pacific-palisades,6
brentwood,6
harbor-city,4
wilmington,34
harbor-gateway,14
playa-del-rey,1
westchester,29
venice,31
mar-vista,10
playa-vista,4
del-rey,6
gramercy-park,2
manchester-square,13
hyde-park,36
chesterfield-square,7
harvard-park,9
leimert-park,19
sawtelle,13
rancho-park,0
palms,7
west-los-angeles,7
century-city,1
cheviot-hills,4
beverlywood,0
westwood,15
bel-air,0
baldwin-hillscrenshaw,23
west-adams,7
pico-robertson,8
mid-city,41
mid-wilshire,19
exposition-park,27
jefferson-park,10
arlington-heights,12
harvard-heights,22
carthay,3
beverly-grove,11
fairfax,11
hancock-park,5
koreatown,77
windsor-square,0
hollywood,90
larchmont,3
vermont-vista,27
broadway-manchester,41
green-meadows,25
vermont-knolls,31
watts,34
vermont-slauson,37
florence,35
vermont-square,35
south-park,27
central-alameda,32
adams-normandie,9
university-park,21
historic-south-central,41
pico-union,32
downtown,207
westlake,81
east-hollywood,35
silver-lake,8
chinatown,7
echo-park,21
elysian-park,1
elysian-valley,1
cypress-park,8
boyle-heights,68
lincoln-heights,16
el-sereno,23
montecito-heights,4
woodland-hills,28
tarzana,25
encino,20
sepulveda-basin,2
west-hills,11
chatsworth-reservoir,1
canoga-park,43
winnetka,28
reseda,34
lake-balboa,9
northridge,28
north-hills,31
porter-ranch,3
granada-hills,13
beverly-crest,3
studio-city,13
sherman-oaks,17
valley-village,15
valley-glen,20
hollywood-hills-west,4
hollywood-hills,10
toluca-lake,5
north-hollywood,52
van-nuys,77
panorama-city,40
mission-hills,3
arleta,10
pacoima,34
sun-valley,37
hansen-dam,1
shadow-hills,7
sunland,6
los-feliz,14
griffith-park,2
atwater-village,7
glassell-park,16
mount-washington,3
highland-park,27
eagle-rock,8
tujunga,8
sylmar,27
lake-view-terrace,6
