Neighborhood,Crime Amount
san-pedro,23
pacific-palisades,2
brentwood,13
harbor-city,9
wilmington,14
harbor-gateway,19
playa-del-rey,4
westchester,17
venice,22
mar-vista,13
playa-vista,9
del-rey,2
gramercy-park,4
manchester-square,3
hyde-park,16
chesterfield-square,5
harvard-park,2
leimert-park,7
sawtelle,31
rancho-park,4
palms,7
west-los-angeles,10
century-city,6
cheviot-hills,8
beverlywood,6
westwood,18
bel-air,2
baldwin-hillscrenshaw,15
west-adams,4
pico-robertson,13
mid-city,15
mid-wilshire,20
exposition-park,1
jefferson-park,6
arlington-heights,9
harvard-heights,7
carthay,3
beverly-grove,24
fairfax,10
hancock-park,11
koreatown,19
windsor-square,5
hollywood,29
larchmont,6
vermont-vista,7
broadway-manchester,12
green-meadows,10
vermont-knolls,8
watts,6
vermont-slauson,11
florence,8
vermont-square,7
south-park,5
central-alameda,6
adams-normandie,2
university-park,9
historic-south-central,9
pico-union,6
downtown,35
westlake,18
east-hollywood,14
silver-lake,12
chinatown,3
echo-park,3
elysian-park,1
elysian-valley,4
cypress-park,0
boyle-heights,14
lincoln-heights,5
el-sereno,8
montecito-heights,2
woodland-hills,44
tarzana,20
encino,23
sepulveda-basin,1
west-hills,8
chatsworth-reservoir,0
canoga-park,10
winnetka,12
reseda,14
lake-balboa,6
northridge,30
north-hills,16
porter-ranch,6
granada-hills,14
beverly-crest,5
studio-city,26
sherman-oaks,41
valley-village,8
valley-glen,24
hollywood-hills-west,11
hollywood-hills,16
toluca-lake,9
north-hollywood,20
van-nuys,35
panorama-city,11
mission-hills,7
arleta,7
pacoima,23
sun-valley,16
hansen-dam,0
shadow-hills,2
sunland,10
los-feliz,10
griffith-park,1
atwater-village,1
glassell-park,4
mount-washington,2
highland-park,7
eagle-rock,12
tujunga,10
sylmar,8
lake-view-terrace,4
