Neighborhood,Crime Amount
san-pedro,36
pacific-palisades,1
brentwood,3
harbor-city,8
wilmington,20
harbor-gateway,19
playa-del-rey,4
westchester,23
venice,31
mar-vista,7
playa-vista,4
del-rey,8
gramercy-park,6
manchester-square,9
hyde-park,22
chesterfield-square,5
harvard-park,8
leimert-park,8
sawtelle,13
rancho-park,0
palms,19
west-los-angeles,7
century-city,0
cheviot-hills,2
beverlywood,1
westwood,9
bel-air,0
baldwin-hillscrenshaw,24
west-adams,13
pico-robertson,10
mid-city,22
mid-wilshire,20
exposition-park,21
jefferson-park,15
arlington-heights,10
harvard-heights,12
carthay,4
beverly-grove,14
fairfax,14
hancock-park,4
koreatown,33
windsor-square,0
hollywood,63
larchmont,3
vermont-vista,13
broadway-manchester,28
green-meadows,20
vermont-knolls,21
watts,18
vermont-slauson,12
florence,32
vermont-square,32
south-park,21
central-alameda,15
adams-normandie,9
university-park,11
historic-south-central,21
pico-union,25
downtown,74
westlake,51
east-hollywood,26
silver-lake,14
chinatown,6
echo-park,18
elysian-park,2
elysian-valley,4
cypress-park,5
boyle-heights,47
lincoln-heights,14
el-sereno,9
montecito-heights,3
woodland-hills,17
tarzana,10
encino,7
sepulveda-basin,2
west-hills,8
chatsworth-reservoir,0
canoga-park,18
winnetka,13
reseda,14
lake-balboa,8
northridge,23
north-hills,26
porter-ranch,2
granada-hills,6
beverly-crest,2
studio-city,15
sherman-oaks,25
valley-village,14
valley-glen,22
hollywood-hills-west,8
hollywood-hills,5
toluca-lake,4
north-hollywood,37
van-nuys,56
panorama-city,22
mission-hills,6
arleta,6
pacoima,32
sun-valley,32
hansen-dam,1
shadow-hills,3
sunland,4
los-feliz,14
griffith-park,3
atwater-village,5
glassell-park,7
mount-washington,4
highland-park,18
eagle-rock,15
tujunga,5
sylmar,25
lake-view-terrace,3
