Neighborhood,Crime Amount
san-pedro,11
pacific-palisades,0
brentwood,7
harbor-city,2
wilmington,4
harbor-gateway,2
playa-del-rey,1
westchester,5
venice,10
mar-vista,2
playa-vista,1
del-rey,2
gramercy-park,1
manchester-square,1
hyde-park,2
chesterfield-square,4
harvard-park,1
leimert-park,4
sawtelle,3
rancho-park,1
palms,1
west-los-angeles,2
century-city,0
cheviot-hills,1
beverlywood,0
westwood,3
bel-air,0
baldwin-hillscrenshaw,4
west-adams,0
pico-robertson,1
mid-city,4
mid-wilshire,8
exposition-park,3
jefferson-park,1
arlington-heights,2
harvard-heights,1
carthay,2
beverly-grove,10
fairfax,4
hancock-park,0
koreatown,14
windsor-square,0
hollywood,13
larchmont,2
vermont-vista,2
broadway-manchester,3
green-meadows,3
vermont-knolls,5
watts,6
vermont-slauson,5
florence,3
vermont-square,4
south-park,4
central-alameda,5
adams-normandie,3
university-park,3
historic-south-central,6
pico-union,8
downtown,39
westlake,15
east-hollywood,8
silver-lake,3
chinatown,0
echo-park,3
elysian-park,2
elysian-valley,0
cypress-park,3
boyle-heights,10
lincoln-heights,1
el-sereno,4
montecito-heights,2
woodland-hills,5
tarzana,1
encino,3
sepulveda-basin,0
west-hills,4
chatsworth-reservoir,0
canoga-park,14
winnetka,12
reseda,7
lake-balboa,5
northridge,4
north-hills,5
porter-ranch,0
granada-hills,9
beverly-crest,3
studio-city,3
sherman-oaks,6
valley-village,3
valley-glen,4
hollywood-hills-west,2
hollywood-hills,5
toluca-lake,0
north-hollywood,8
van-nuys,24
panorama-city,5
mission-hills,3
arleta,1
pacoima,6
sun-valley,6
hansen-dam,0
shadow-hills,0
sunland,1
los-feliz,3
griffith-park,0
atwater-village,0
glassell-park,0
mount-washington,1
highland-park,5
eagle-rock,0
tujunga,3
sylmar,7
lake-view-terrace,2
