Neighborhood,Crime Amount
san-pedro,22
pacific-palisades,5
brentwood,9
harbor-city,6
wilmington,13
harbor-gateway,16
playa-del-rey,5
westchester,37
venice,14
mar-vista,5
playa-vista,2
del-rey,6
gramercy-park,2
manchester-square,4
hyde-park,10
chesterfield-square,1
harvard-park,0
leimert-park,5
sawtelle,12
rancho-park,1
palms,9
west-los-angeles,7
century-city,4
cheviot-hills,6
beverlywood,1
westwood,13
bel-air,0
baldwin-hillscrenshaw,11
west-adams,6
pico-robertson,2
mid-city,17
mid-wilshire,9
exposition-park,10
jefferson-park,6
arlington-heights,5
harvard-heights,4
carthay,0
beverly-grove,7
fairfax,3
hancock-park,4
koreatown,17
windsor-square,3
hollywood,37
larchmont,1
vermont-vista,2
broadway-manchester,11
green-meadows,7
vermont-knolls,8
watts,10
vermont-slauson,7
florence,18
vermont-square,5
south-park,1
central-alameda,5
adams-normandie,1
university-park,5
historic-south-central,11
pico-union,12
downtown,41
westlake,27
east-hollywood,6
silver-lake,10
chinatown,3
echo-park,9
elysian-park,0
elysian-valley,0
cypress-park,1
boyle-heights,13
lincoln-heights,4
el-sereno,8
montecito-heights,5
woodland-hills,34
tarzana,11
encino,18
sepulveda-basin,0
west-hills,22
chatsworth-reservoir,0
canoga-park,25
winnetka,13
reseda,23
lake-balboa,3
northridge,21
north-hills,20
porter-ranch,8
granada-hills,20
beverly-crest,7
studio-city,11
sherman-oaks,25
valley-village,7
valley-glen,22
hollywood-hills-west,3
hollywood-hills,9
toluca-lake,3
north-hollywood,26
van-nuys,31
panorama-city,13
mission-hills,2
arleta,7
pacoima,4
sun-valley,18
hansen-dam,1
shadow-hills,6
sunland,8
los-feliz,10
griffith-park,1
atwater-village,2
glassell-park,5
mount-washington,3
highland-park,9
eagle-rock,5
tujunga,17
sylmar,13
lake-view-terrace,4
