Neighborhood,Crime Amount
san-pedro,45
pacific-palisades,4
brentwood,7
harbor-city,19
wilmington,27
harbor-gateway,23
playa-del-rey,3
westchester,34
venice,54
mar-vista,10
playa-vista,2
del-rey,12
gramercy-park,11
manchester-square,12
hyde-park,44
chesterfield-square,11
harvard-park,8
leimert-park,6
sawtelle,20
rancho-park,1
palms,13
west-los-angeles,9
century-city,3
cheviot-hills,9
beverlywood,3
westwood,12
bel-air,0
baldwin-hillscrenshaw,37
west-adams,13
pico-robertson,5
mid-city,28
mid-wilshire,28
exposition-park,48
jefferson-park,19
arlington-heights,14
harvard-heights,20
carthay,2
beverly-grove,23
fairfax,12
hancock-park,3
koreatown,86
windsor-square,1
hollywood,87
larchmont,1
vermont-vista,24
broadway-manchester,44
green-meadows,31
vermont-knolls,26
watts,26
vermont-slauson,38
florence,55
vermont-square,53
south-park,26
central-alameda,36
adams-normandie,21
university-park,8
historic-south-central,58
pico-union,32
downtown,233
westlake,103
east-hollywood,49
silver-lake,8
chinatown,10
echo-park,14
elysian-park,2
elysian-valley,2
cypress-park,7
boyle-heights,84
lincoln-heights,19
el-sereno,20
montecito-heights,8
woodland-hills,26
tarzana,12
encino,21
sepulveda-basin,0
west-hills,22
chatsworth-reservoir,0
canoga-park,46
winnetka,31
reseda,38
lake-balboa,16
northridge,29
north-hills,36
porter-ranch,6
granada-hills,18
beverly-crest,5
studio-city,17
sherman-oaks,26
valley-village,11
valley-glen,33
hollywood-hills-west,6
hollywood-hills,7
toluca-lake,5
north-hollywood,54
van-nuys,78
panorama-city,58
mission-hills,8
arleta,6
pacoima,51
sun-valley,54
hansen-dam,1
shadow-hills,3
sunland,6
los-feliz,6
griffith-park,1
atwater-village,6
glassell-park,10
mount-washington,3
highland-park,40
eagle-rock,10
tujunga,8
sylmar,43
lake-view-terrace,9
