Neighborhood,Crime Amount
san-pedro,59
pacific-palisades,17
brentwood,36
harbor-city,18
wilmington,51
harbor-gateway,53
playa-del-rey,18
westchester,161
venice,120
mar-vista,34
playa-vista,15
del-rey,29
gramercy-park,15
manchester-square,21
hyde-park,39
chesterfield-square,8
harvard-park,21
leimert-park,22
sawtelle,93
rancho-park,19
palms,54
west-los-angeles,22
century-city,23
cheviot-hills,6
beverlywood,2
westwood,48
bel-air,2
baldwin-hillscrenshaw,85
west-adams,30
pico-robertson,25
mid-city,57
mid-wilshire,69
exposition-park,61
jefferson-park,21
arlington-heights,23
harvard-heights,28
carthay,7
beverly-grove,99
fairfax,53
hancock-park,23
koreatown,170
windsor-square,14
hollywood,257
larchmont,13
vermont-vista,35
broadway-manchester,52
green-meadows,46
vermont-knolls,27
watts,45
vermont-slauson,41
florence,64
vermont-square,53
south-park,44
central-alameda,33
adams-normandie,22
university-park,90
historic-south-central,58
pico-union,54
downtown,396
westlake,142
east-hollywood,78
silver-lake,43
chinatown,19
echo-park,57
elysian-park,6
elysian-valley,6
cypress-park,5
boyle-heights,91
lincoln-heights,24
el-sereno,21
montecito-heights,11
woodland-hills,74
tarzana,48
encino,45
sepulveda-basin,4
west-hills,34
chatsworth-reservoir,1
canoga-park,92
winnetka,42
reseda,55
lake-balboa,12
northridge,107
north-hills,51
porter-ranch,21
granada-hills,66
beverly-crest,4
studio-city,89
sherman-oaks,115
valley-village,31
valley-glen,60
hollywood-hills-west,18
hollywood-hills,61
toluca-lake,12
north-hollywood,100
van-nuys,171
panorama-city,66
mission-hills,25
arleta,14
pacoima,51
sun-valley,76
hansen-dam,3
shadow-hills,11
sunland,12
los-feliz,59
griffith-park,14
atwater-village,15
glassell-park,19
mount-washington,7
highland-park,33
eagle-rock,28
tujunga,18
sylmar,48
lake-view-terrace,5
