,Crime Amount,NeighborhoodId
1,201,1
2,175,2
3,297,3
4,137,4
5,125,5
6,469,6
7,312,7
8,1125,8
9,37,9
10,109,10
11,94,11
12,45,12
13,49,13
14,93,14
15,196,15
16,141,16
17,116,17
18,35,18
19,207,19
20,81,20
21,131,21
22,246,22
23,246,23
24,364,24
25,691,25
26,148,26
27,122,27
28,604,28
29,220,29
30,158,30
31,96,31
32,907,32
33,207,33
34,91,34
35,186,35
36,37,36
37,48,37
38,156,38
39,102,39
40,88,40
41,123,41
42,130,42
43,389,43
44,327,44
45,60,45
46,155,46
47,20,47
48,83,48
49,274,49
50,51,50
51,98,51
52,52,52
53,139,53
54,19,54
55,45,55
56,144,56
57,47,57
58,95,58
59,43,59
60,79,60
61,160,61
62,72,62
63,86,63
64,74,64
65,107,65
66,262,66
67,242,67
68,214,68
69,268,69
70,137,70
71,342,71
72,97,72
73,206,73
74,77,74
75,161,75
76,144,76
77,171,77
