,Crime Amount,NeighborhoodId
1,675,1
2,550,2
3,672,3
4,288,4
5,137,5
6,767,6
7,338,7
8,1047,8
9,49,9
10,174,10
11,173,11
12,56,12
13,113,13
14,495,14
15,572,15
16,556,16
17,280,17
18,97,18
19,974,19
20,329,20
21,367,21
22,682,22
23,1699,23
24,939,24
25,3562,25
26,1033,26
27,1076,27
28,1128,28
29,1909,29
30,1007,30
31,459,31
32,720,32
33,290,33
34,194,34
35,503,35
36,112,36
37,169,37
38,672,38
39,251,39
40,690,40
41,193,41
42,812,42
43,2056,43
44,1280,44
45,273,45
46,1177,46
47,69,47
48,258,48
49,1434,49
50,217,50
51,361,51
52,259,52
53,869,53
54,324,54
55,107,55
56,239,56
57,172,57
58,549,58
59,159,59
60,250,60
61,1052,61
62,133,62
63,453,63
64,150,64
65,276,65
66,1261,66
67,1672,67
68,1622,68
69,1609,69
70,386,70
71,1677,71
72,101,72
73,602,73
74,86,74
75,345,75
76,166,76
77,371,77
