,Crime Amount,NeighborhoodId
1,106,1
2,91,2
3,115,3
4,42,4
5,43,5
6,195,6
7,116,7
8,204,8
9,1,9
10,9,10
11,24,11
12,3,12
13,23,13
14,70,14
15,87,15
16,83,16
17,30,17
18,15,18
19,149,19
20,46,20
21,89,21
22,159,22
23,310,23
24,234,24
25,771,25
26,296,26
27,226,27
28,276,28
29,391,29
30,205,30
31,63,31
32,194,32
33,58,33
34,104,34
35,89,35
36,27,36
37,51,37
38,152,38
39,82,39
40,124,40
41,91,41
42,171,42
43,342,43
44,276,44
45,65,45
46,171,46
47,17,47
48,64,48
49,267,49
50,20,50
51,60,51
52,31,52
53,145,53
54,41,54
55,11,55
56,32,56
57,43,57
58,106,58
59,38,59
60,41,60
61,182,61
62,49,62
63,119,63
64,27,64
65,65,65
66,244,66
67,261,67
68,289,68
69,298,69
70,81,70
71,370,71
72,20,72
73,106,73
74,6,74
75,59,75
76,17,76
77,54,77
