Neighborhood,Crime Amount
san-pedro,42
pacific-palisades,4
brentwood,11
harbor-city,5
wilmington,32
harbor-gateway,13
playa-del-rey,1
westchester,18
venice,24
mar-vista,12
playa-vista,7
del-rey,8
gramercy-park,6
manchester-square,8
hyde-park,20
chesterfield-square,5
harvard-park,9
leimert-park,6
sawtelle,11
rancho-park,0
palms,20
west-los-angeles,3
century-city,1
cheviot-hills,1
beverlywood,1
westwood,12
bel-air,0
baldwin-hillscrenshaw,22
west-adams,5
pico-robertson,3
mid-city,29
mid-wilshire,24
exposition-park,16
jefferson-park,15
arlington-heights,11
harvard-heights,7
carthay,2
beverly-grove,17
fairfax,9
hancock-park,5
koreatown,53
windsor-square,2
hollywood,72
larchmont,2
vermont-vista,14
broadway-manchester,23
green-meadows,19
vermont-knolls,19
watts,31
vermont-slauson,13
florence,33
vermont-square,38
south-park,15
central-alameda,18
adams-normandie,12
university-park,7
historic-south-central,24
pico-union,28
downtown,105
westlake,46
east-hollywood,26
silver-lake,10
chinatown,10
echo-park,14
elysian-park,0
elysian-valley,1
cypress-park,4
boyle-heights,53
lincoln-heights,7
el-sereno,11
montecito-heights,7
woodland-hills,18
tarzana,10
encino,13
sepulveda-basin,1
west-hills,12
chatsworth-reservoir,1
canoga-park,23
winnetka,18
reseda,29
lake-balboa,8
northridge,18
north-hills,33
porter-ranch,2
granada-hills,19
beverly-crest,5
studio-city,17
sherman-oaks,30
valley-village,6
valley-glen,25
hollywood-hills-west,3
hollywood-hills,11
toluca-lake,0
north-hollywood,45
van-nuys,51
panorama-city,30
mission-hills,13
arleta,5
pacoima,30
sun-valley,36
hansen-dam,1
shadow-hills,3
sunland,4
los-feliz,16
griffith-park,2
atwater-village,4
glassell-park,3
mount-washington,5
highland-park,15
eagle-rock,9
tujunga,9
sylmar,25
lake-view-terrace,3
