Neighborhood,Crime Amount
san-pedro,22
pacific-palisades,6
brentwood,22
harbor-city,8
wilmington,12
harbor-gateway,8
playa-del-rey,2
westchester,44
venice,18
mar-vista,15
playa-vista,2
del-rey,9
gramercy-park,4
manchester-square,6
hyde-park,10
chesterfield-square,0
harvard-park,1
leimert-park,6
sawtelle,26
rancho-park,2
palms,13
west-los-angeles,3
century-city,1
cheviot-hills,2
beverlywood,2
westwood,18
bel-air,6
baldwin-hillscrenshaw,9
west-adams,5
pico-robertson,5
mid-city,14
mid-wilshire,16
exposition-park,16
jefferson-park,9
arlington-heights,11
harvard-heights,11
carthay,3
beverly-grove,12
fairfax,4
hancock-park,5
koreatown,34
windsor-square,4
hollywood,53
larchmont,5
vermont-vista,4
broadway-manchester,14
green-meadows,11
vermont-knolls,15
watts,8
vermont-slauson,8
florence,15
vermont-square,13
south-park,9
central-alameda,8
adams-normandie,2
university-park,7
historic-south-central,12
pico-union,15
downtown,39
westlake,20
east-hollywood,15
silver-lake,10
chinatown,2
echo-park,8
elysian-park,0
elysian-valley,1
cypress-park,4
boyle-heights,26
lincoln-heights,6
el-sereno,15
montecito-heights,3
woodland-hills,56
tarzana,22
encino,22
sepulveda-basin,3
west-hills,17
chatsworth-reservoir,0
canoga-park,18
winnetka,19
reseda,33
lake-balboa,13
northridge,29
north-hills,21
porter-ranch,10
granada-hills,27
beverly-crest,2
studio-city,16
sherman-oaks,26
valley-village,18
valley-glen,26
hollywood-hills-west,13
hollywood-hills,9
toluca-lake,5
north-hollywood,69
van-nuys,53
panorama-city,23
mission-hills,11
arleta,8
pacoima,22
sun-valley,37
hansen-dam,0
shadow-hills,5
sunland,7
los-feliz,9
griffith-park,0
atwater-village,4
glassell-park,7
mount-washington,2
highland-park,12
eagle-rock,14
tujunga,12
sylmar,19
lake-view-terrace,4
