Neighborhood,Crime Amount
san-pedro,70
pacific-palisades,24
brentwood,33
harbor-city,30
wilmington,56
harbor-gateway,35
playa-del-rey,11
westchester,146
venice,82
mar-vista,26
playa-vista,18
del-rey,28
gramercy-park,17
manchester-square,17
hyde-park,36
chesterfield-square,5
harvard-park,12
leimert-park,22
sawtelle,57
rancho-park,7
palms,69
west-los-angeles,28
century-city,21
cheviot-hills,9
beverlywood,4
westwood,54
bel-air,7
baldwin-hillscrenshaw,99
west-adams,27
pico-robertson,14
mid-city,60
mid-wilshire,72
exposition-park,37
jefferson-park,29
arlington-heights,19
harvard-heights,19
carthay,7
beverly-grove,56
fairfax,58
hancock-park,23
koreatown,164
windsor-square,11
hollywood,261
larchmont,11
vermont-vista,28
broadway-manchester,35
green-meadows,51
vermont-knolls,45
watts,27
vermont-slauson,47
florence,56
vermont-square,47
south-park,42
central-alameda,30
adams-normandie,15
university-park,72
historic-south-central,68
pico-union,64
downtown,382
westlake,133
east-hollywood,74
silver-lake,48
chinatown,12
echo-park,51
elysian-park,1
elysian-valley,6
cypress-park,13
boyle-heights,105
lincoln-heights,37
el-sereno,30
montecito-heights,18
woodland-hills,122
tarzana,41
encino,59
sepulveda-basin,1
west-hills,56
chatsworth,1
canoga-park,122
winnetka,45
reseda,53
lake-balboa,24
northridge,89
north-hills,67
porter-ranch,17
granada-hills,39
beverly-crest,3
studio-city,74
sherman-oaks,102
valley-village,38
valley-glen,66
hollywood-hills-west,18
hollywood-hills,38
toluca-lake,20
north-hollywood,175
van-nuys,142
panorama-city,82
mission-hills,25
arleta,21
pacoima,62
sun-valley,90
hansen-dam,1
shadow-hills,19
sunland,18
los-feliz,46
griffith-park,16
atwater-village,25
glassell-park,22
mount-washington,6
highland-park,45
eagle-rock,35
tujunga,19
sylmar,51
lake-view-terrace,3
