Neighborhood,Crime Amount
san-pedro,31
pacific-palisades,12
brentwood,14
harbor-city,10
wilmington,10
harbor-gateway,17
playa-del-rey,3
westchester,7
venice,25
mar-vista,8
playa-vista,8
del-rey,8
gramercy-park,3
manchester-square,6
hyde-park,16
chesterfield-square,10
harvard-park,7
leimert-park,9
sawtelle,10
rancho-park,1
palms,11
west-los-angeles,9
century-city,0
cheviot-hills,6
beverlywood,6
westwood,11
bel-air,2
baldwin-hillscrenshaw,10
west-adams,14
pico-robertson,10
mid-city,28
mid-wilshire,25
exposition-park,4
jefferson-park,10
arlington-heights,7
harvard-heights,11
carthay,3
beverly-grove,12
fairfax,10
hancock-park,8
koreatown,34
windsor-square,7
hollywood,19
larchmont,6
vermont-vista,10
broadway-manchester,8
green-meadows,6
vermont-knolls,3
watts,7
vermont-slauson,14
florence,23
vermont-square,13
south-park,6
central-alameda,4
adams-normandie,2
university-park,6
historic-south-central,7
pico-union,10
downtown,32
westlake,24
east-hollywood,20
silver-lake,5
chinatown,1
echo-park,8
elysian-park,1
elysian-valley,3
cypress-park,0
boyle-heights,21
lincoln-heights,7
el-sereno,8
montecito-heights,2
woodland-hills,31
tarzana,28
encino,33
sepulveda-basin,0
west-hills,8
chatsworth-reservoir,0
canoga-park,16
winnetka,20
reseda,17
lake-balboa,12
northridge,17
north-hills,11
porter-ranch,10
granada-hills,19
beverly-crest,5
studio-city,23
sherman-oaks,25
valley-village,10
valley-glen,15
hollywood-hills-west,12
hollywood-hills,14
toluca-lake,2
north-hollywood,19
van-nuys,14
panorama-city,20
mission-hills,10
arleta,4
pacoima,18
sun-valley,31
hansen-dam,1
shadow-hills,5
sunland,5
los-feliz,21
griffith-park,0
atwater-village,3
glassell-park,9
mount-washington,2
highland-park,6
eagle-rock,10
tujunga,6
sylmar,17
lake-view-terrace,1
