Neighborhood,Crime Amount
san-pedro,61
pacific-palisades,2
brentwood,10
harbor-city,6
wilmington,35
harbor-gateway,19
playa-del-rey,0
westchester,34
venice,27
mar-vista,5
playa-vista,7
del-rey,8
gramercy-park,6
manchester-square,8
hyde-park,29
chesterfield-square,7
harvard-park,19
leimert-park,17
sawtelle,20
rancho-park,5
palms,9
west-los-angeles,6
century-city,2
cheviot-hills,3
beverlywood,2
westwood,10
bel-air,0
baldwin-hillscrenshaw,27
west-adams,19
pico-robertson,10
mid-city,33
mid-wilshire,36
exposition-park,30
jefferson-park,14
arlington-heights,13
harvard-heights,12
carthay,1
beverly-grove,16
fairfax,11
hancock-park,5
koreatown,72
windsor-square,2
hollywood,107
larchmont,0
vermont-vista,25
broadway-manchester,42
green-meadows,26
vermont-knolls,32
watts,43
vermont-slauson,26
florence,47
vermont-square,51
south-park,39
central-alameda,28
adams-normandie,24
university-park,10
historic-south-central,68
pico-union,32
downtown,219
westlake,103
east-hollywood,42
silver-lake,12
chinatown,6
echo-park,13
elysian-park,2
elysian-valley,4
cypress-park,4
boyle-heights,89
lincoln-heights,22
el-sereno,18
montecito-heights,1
woodland-hills,16
tarzana,13
encino,9
sepulveda-basin,2
west-hills,16
chatsworth-reservoir,0
canoga-park,41
winnetka,20
reseda,32
lake-balboa,18
northridge,34
north-hills,31
porter-ranch,5
granada-hills,14
beverly-crest,1
studio-city,24
sherman-oaks,16
valley-village,10
valley-glen,36
hollywood-hills-west,6
hollywood-hills,11
toluca-lake,5
north-hollywood,72
van-nuys,86
panorama-city,46
mission-hills,12
arleta,14
pacoima,53
sun-valley,51
hansen-dam,3
shadow-hills,4
sunland,9
los-feliz,19
griffith-park,0
atwater-village,4
glassell-park,8
mount-washington,2
highland-park,24
eagle-rock,10
tujunga,11
sylmar,32
lake-view-terrace,12
