Neighborhood,Crime Amount
san-pedro,12
pacific-palisades,4
brentwood,5
harbor-city,0
wilmington,4
harbor-gateway,4
playa-del-rey,1
westchester,9
venice,3
mar-vista,3
playa-vista,2
del-rey,3
gramercy-park,1
manchester-square,1
hyde-park,2
chesterfield-square,1
harvard-park,2
leimert-park,6
sawtelle,6
rancho-park,0
palms,0
west-los-angeles,2
century-city,4
cheviot-hills,4
beverlywood,1
westwood,6
bel-air,1
baldwin-hillscrenshaw,3
west-adams,2
pico-robertson,3
mid-city,9
mid-wilshire,4
exposition-park,7
jefferson-park,3
arlington-heights,6
harvard-heights,4
carthay,1
beverly-grove,6
fairfax,4
hancock-park,4
koreatown,18
windsor-square,1
hollywood,20
larchmont,1
vermont-vista,3
broadway-manchester,8
green-meadows,1
vermont-knolls,4
watts,6
vermont-slauson,9
florence,13
vermont-square,6
south-park,7
central-alameda,2
adams-normandie,3
university-park,12
historic-south-central,9
pico-union,12
downtown,37
westlake,17
east-hollywood,11
silver-lake,4
chinatown,3
echo-park,3
elysian-park,0
elysian-valley,2
cypress-park,1
boyle-heights,16
lincoln-heights,4
el-sereno,2
montecito-heights,1
woodland-hills,10
tarzana,7
encino,2
sepulveda-basin,0
west-hills,4
chatsworth-reservoir,0
canoga-park,14
winnetka,14
reseda,15
lake-balboa,3
northridge,8
north-hills,15
porter-ranch,0
granada-hills,3
beverly-crest,2
studio-city,5
sherman-oaks,7
valley-village,4
valley-glen,6
hollywood-hills-west,1
hollywood-hills,1
toluca-lake,0
north-hollywood,8
van-nuys,17
panorama-city,9
mission-hills,3
arleta,2
pacoima,14
sun-valley,8
hansen-dam,0
shadow-hills,2
sunland,0
los-feliz,1
griffith-park,0
atwater-village,1
glassell-park,1
mount-washington,0
highland-park,3
eagle-rock,5
tujunga,2
sylmar,7
lake-view-terrace,1
