Neighborhood,Crime Amount
san-pedro,17
pacific-palisades,8
brentwood,12
harbor-city,1
wilmington,13
harbor-gateway,9
playa-del-rey,1
westchester,31
venice,15
mar-vista,11
playa-vista,5
del-rey,14
gramercy-park,4
manchester-square,3
hyde-park,12
chesterfield-square,4
harvard-park,3
leimert-park,7
sawtelle,21
rancho-park,2
palms,10
west-los-angeles,6
century-city,4
cheviot-hills,2
beverlywood,1
westwood,15
bel-air,5
baldwin-hillscrenshaw,19
west-adams,7
pico-robertson,6
mid-city,20
mid-wilshire,15
exposition-park,9
jefferson-park,8
arlington-heights,5
harvard-heights,8
carthay,3
beverly-grove,5
fairfax,13
hancock-park,3
koreatown,41
windsor-square,1
hollywood,40
larchmont,1
vermont-vista,6
broadway-manchester,10
green-meadows,8
vermont-knolls,8
watts,6
vermont-slauson,13
florence,8
vermont-square,8
south-park,10
central-alameda,9
adams-normandie,6
university-park,7
historic-south-central,12
pico-union,4
downtown,46
westlake,24
east-hollywood,15
silver-lake,8
chinatown,7
echo-park,7
elysian-park,1
elysian-valley,1
cypress-park,4
boyle-heights,13
lincoln-heights,3
el-sereno,3
montecito-heights,4
woodland-hills,39
tarzana,24
encino,13
sepulveda-basin,1
west-hills,24
chatsworth-reservoir,0
canoga-park,22
winnetka,32
reseda,34
lake-balboa,9
northridge,20
north-hills,13
porter-ranch,7
granada-hills,23
beverly-crest,2
studio-city,23
sherman-oaks,39
valley-village,14
valley-glen,31
hollywood-hills-west,7
hollywood-hills,7
toluca-lake,5
north-hollywood,29
van-nuys,55
panorama-city,19
mission-hills,7
arleta,3
pacoima,19
sun-valley,24
hansen-dam,0
shadow-hills,3
sunland,6
los-feliz,15
griffith-park,0
atwater-village,5
glassell-park,10
mount-washington,1
highland-park,5
eagle-rock,9
tujunga,5
sylmar,16
lake-view-terrace,2
