Neighborhood,Crime Amount
san-pedro,51
pacific-palisades,7
brentwood,10
harbor-city,10
wilmington,49
harbor-gateway,20
playa-del-rey,2
westchester,26
venice,45
mar-vista,10
playa-vista,3
del-rey,17
gramercy-park,14
manchester-square,16
hyde-park,36
chesterfield-square,9
harvard-park,15
leimert-park,18
sawtelle,11
rancho-park,1
palms,20
west-los-angeles,7
century-city,2
cheviot-hills,5
beverlywood,1
westwood,20
bel-air,1
baldwin-hillscrenshaw,44
west-adams,24
pico-robertson,9
mid-city,38
mid-wilshire,28
exposition-park,39
jefferson-park,21
arlington-heights,16
harvard-heights,17
carthay,2
beverly-grove,15
fairfax,9
hancock-park,8
koreatown,85
windsor-square,2
hollywood,116
larchmont,2
vermont-vista,33
broadway-manchester,41
green-meadows,31
vermont-knolls,25
watts,36
vermont-slauson,35
florence,55
vermont-square,51
south-park,34
central-alameda,36
adams-normandie,11
university-park,12
historic-south-central,57
pico-union,34
downtown,256
westlake,113
east-hollywood,60
silver-lake,12
chinatown,8
echo-park,19
elysian-park,9
elysian-valley,2
cypress-park,9
boyle-heights,83
lincoln-heights,18
el-sereno,27
montecito-heights,5
woodland-hills,29
tarzana,11
encino,17
sepulveda-basin,4
west-hills,11
chatsworth-reservoir,0
canoga-park,51
winnetka,24
reseda,30
lake-balboa,12
northridge,41
north-hills,40
porter-ranch,3
granada-hills,9
beverly-crest,2
studio-city,27
sherman-oaks,25
valley-village,10
valley-glen,30
hollywood-hills-west,4
hollywood-hills,12
toluca-lake,6
north-hollywood,72
van-nuys,81
panorama-city,41
mission-hills,3
arleta,8
pacoima,46
sun-valley,51
hansen-dam,3
shadow-hills,10
sunland,2
los-feliz,15
griffith-park,2
atwater-village,5
glassell-park,9
mount-washington,5
highland-park,28
eagle-rock,10
tujunga,10
sylmar,34
lake-view-terrace,11
