Neighborhood,Crime Amount
san-pedro,56
pacific-palisades,12
brentwood,40
harbor-city,30
wilmington,61
harbor-gateway,56
playa-del-rey,12
westchester,149
venice,104
mar-vista,25
playa-vista,24
del-rey,28
gramercy-park,14
manchester-square,16
hyde-park,40
chesterfield-square,10
harvard-park,22
leimert-park,30
sawtelle,109
rancho-park,13
palms,65
west-los-angeles,28
century-city,14
cheviot-hills,11
beverlywood,8
westwood,50
bel-air,3
baldwin-hillscrenshaw,81
west-adams,24
pico-robertson,29
mid-city,61
mid-wilshire,89
exposition-park,64
jefferson-park,26
arlington-heights,29
harvard-heights,29
carthay,4
beverly-grove,84
fairfax,57
hancock-park,16
koreatown,178
windsor-square,19
hollywood,243
larchmont,14
vermont-vista,40
broadway-manchester,47
green-meadows,50
vermont-knolls,35
watts,43
vermont-slauson,45
florence,60
vermont-square,65
south-park,45
central-alameda,29
adams-normandie,21
university-park,102
historic-south-central,84
pico-union,51
downtown,452
westlake,137
east-hollywood,80
silver-lake,42
chinatown,17
echo-park,57
elysian-park,10
elysian-valley,7
cypress-park,8
boyle-heights,103
lincoln-heights,29
el-sereno,21
montecito-heights,6
woodland-hills,96
tarzana,54
encino,35
sepulveda-basin,7
west-hills,46
chatsworth-reservoir,0
canoga-park,117
winnetka,41
reseda,50
lake-balboa,23
northridge,102
north-hills,60
porter-ranch,19
granada-hills,67
beverly-crest,5
studio-city,85
sherman-oaks,116
valley-village,33
valley-glen,65
hollywood-hills-west,17
hollywood-hills,38
toluca-lake,9
north-hollywood,131
van-nuys,165
panorama-city,66
mission-hills,26
arleta,16
pacoima,67
sun-valley,77
hansen-dam,1
shadow-hills,9
sunland,16
los-feliz,44
griffith-park,16
atwater-village,15
glassell-park,21
mount-washington,14
highland-park,32
eagle-rock,37
tujunga,16
sylmar,53
lake-view-terrace,15
