Neighborhood,Crime Amount
san-pedro,20
pacific-palisades,7
brentwood,17
harbor-city,6
wilmington,15
harbor-gateway,14
playa-del-rey,1
westchester,11
venice,23
mar-vista,15
playa-vista,5
del-rey,5
gramercy-park,4
manchester-square,2
hyde-park,17
chesterfield-square,1
harvard-park,6
leimert-park,2
sawtelle,57
rancho-park,4
palms,11
west-los-angeles,18
century-city,3
cheviot-hills,12
beverlywood,7
westwood,13
bel-air,3
baldwin-hillscrenshaw,12
west-adams,17
pico-robertson,4
mid-city,15
mid-wilshire,19
exposition-park,5
jefferson-park,11
arlington-heights,3
harvard-heights,8
carthay,3
beverly-grove,17
fairfax,18
hancock-park,5
koreatown,18
windsor-square,8
hollywood,19
larchmont,4
vermont-vista,13
broadway-manchester,16
green-meadows,11
vermont-knolls,8
watts,19
vermont-slauson,9
florence,12
vermont-square,10
south-park,8
central-alameda,1
adams-normandie,2
university-park,4
historic-south-central,15
pico-union,7
downtown,28
westlake,30
east-hollywood,21
silver-lake,13
chinatown,1
echo-park,12
elysian-park,2
elysian-valley,4
cypress-park,3
boyle-heights,17
lincoln-heights,6
el-sereno,6
montecito-heights,2
woodland-hills,24
tarzana,21
encino,27
sepulveda-basin,1
west-hills,11
chatsworth-reservoir,0
canoga-park,13
winnetka,13
reseda,8
lake-balboa,8
northridge,23
north-hills,20
porter-ranch,10
granada-hills,17
beverly-crest,5
studio-city,22
sherman-oaks,28
valley-village,9
valley-glen,12
hollywood-hills-west,7
hollywood-hills,7
toluca-lake,5
north-hollywood,27
van-nuys,27
panorama-city,20
mission-hills,4
arleta,8
pacoima,10
sun-valley,21
hansen-dam,0
shadow-hills,5
sunland,4
los-feliz,17
griffith-park,1
atwater-village,2
glassell-park,9
mount-washington,0
highland-park,7
eagle-rock,8
tujunga,3
sylmar,10
lake-view-terrace,5
