Neighborhood,Crime Amount
san-pedro,33
pacific-palisades,5
brentwood,6
harbor-city,12
wilmington,26
harbor-gateway,13
playa-del-rey,4
westchester,18
venice,18
mar-vista,3
playa-vista,4
del-rey,3
gramercy-park,6
manchester-square,8
hyde-park,10
chesterfield-square,8
harvard-park,5
leimert-park,6
sawtelle,7
rancho-park,1
palms,9
west-los-angeles,0
century-city,2
cheviot-hills,4
beverlywood,1
westwood,3
bel-air,0
baldwin-hillscrenshaw,18
west-adams,6
pico-robertson,3
mid-city,16
mid-wilshire,10
exposition-park,8
jefferson-park,9
arlington-heights,11
harvard-heights,5
carthay,1
beverly-grove,4
fairfax,3
hancock-park,0
koreatown,43
windsor-square,2
hollywood,18
larchmont,2
vermont-vista,17
broadway-manchester,22
green-meadows,31
vermont-knolls,15
watts,22
vermont-slauson,22
florence,34
vermont-square,24
south-park,14
central-alameda,15
adams-normandie,7
university-park,5
historic-south-central,22
pico-union,22
downtown,48
westlake,31
east-hollywood,20
silver-lake,11
chinatown,3
echo-park,16
elysian-park,1
elysian-valley,5
cypress-park,2
boyle-heights,59
lincoln-heights,10
el-sereno,13
montecito-heights,6
woodland-hills,12
tarzana,4
encino,8
sepulveda-basin,0
west-hills,9
chatsworth-reservoir,0
canoga-park,15
winnetka,8
reseda,24
lake-balboa,7
northridge,15
north-hills,25
porter-ranch,1
granada-hills,10
beverly-crest,0
studio-city,17
sherman-oaks,14
valley-village,5
valley-glen,23
hollywood-hills-west,4
hollywood-hills,10
toluca-lake,8
north-hollywood,20
van-nuys,40
panorama-city,30
mission-hills,5
arleta,5
pacoima,41
sun-valley,38
hansen-dam,1
shadow-hills,6
sunland,5
los-feliz,6
griffith-park,0
atwater-village,2
glassell-park,16
mount-washington,7
highland-park,18
eagle-rock,8
tujunga,6
sylmar,17
lake-view-terrace,3
