Neighborhood,Crime Amount
san-pedro,54
pacific-palisades,8
brentwood,10
harbor-city,11
wilmington,36
harbor-gateway,15
playa-del-rey,3
westchester,33
venice,31
mar-vista,11
playa-vista,3
del-rey,11
gramercy-park,9
manchester-square,13
hyde-park,41
chesterfield-square,10
harvard-park,9
leimert-park,17
sawtelle,13
rancho-park,2
palms,14
west-los-angeles,3
century-city,2
cheviot-hills,7
beverlywood,0
westwood,10
bel-air,1
baldwin-hillscrenshaw,33
west-adams,12
pico-robertson,5
mid-city,40
mid-wilshire,24
exposition-park,31
jefferson-park,12
arlington-heights,15
harvard-heights,24
carthay,4
beverly-grove,13
fairfax,9
hancock-park,2
koreatown,89
windsor-square,1
hollywood,107
larchmont,4
vermont-vista,20
broadway-manchester,33
green-meadows,27
vermont-knolls,29
watts,37
vermont-slauson,31
florence,49
vermont-square,46
south-park,27
central-alameda,28
adams-normandie,8
university-park,22
historic-south-central,39
pico-union,31
downtown,207
westlake,101
east-hollywood,47
silver-lake,10
chinatown,11
echo-park,13
elysian-park,3
elysian-valley,0
cypress-park,4
boyle-heights,51
lincoln-heights,16
el-sereno,19
montecito-heights,5
woodland-hills,34
tarzana,18
encino,13
sepulveda-basin,2
west-hills,13
chatsworth-reservoir,0
canoga-park,35
winnetka,24
reseda,38
lake-balboa,6
northridge,22
north-hills,35
porter-ranch,9
granada-hills,22
beverly-crest,3
studio-city,15
sherman-oaks,17
valley-village,9
valley-glen,29
hollywood-hills-west,6
hollywood-hills,16
toluca-lake,2
north-hollywood,55
van-nuys,68
panorama-city,56
mission-hills,10
arleta,10
pacoima,33
sun-valley,28
hansen-dam,3
shadow-hills,3
sunland,4
los-feliz,15
griffith-park,1
atwater-village,3
glassell-park,16
mount-washington,5
highland-park,28
eagle-rock,10
tujunga,10
sylmar,35
lake-view-terrace,8
