Neighborhood,Crime Amount
san-pedro,17
pacific-palisades,5
brentwood,11
harbor-city,4
wilmington,6
harbor-gateway,9
playa-del-rey,7
westchester,26
venice,5
mar-vista,6
playa-vista,3
del-rey,5
gramercy-park,2
manchester-square,3
hyde-park,11
chesterfield-square,3
harvard-park,1
leimert-park,4
sawtelle,11
rancho-park,1
palms,7
west-los-angeles,5
century-city,5
cheviot-hills,4
beverlywood,3
westwood,7
bel-air,0
baldwin-hillscrenshaw,10
west-adams,2
pico-robertson,6
mid-city,12
mid-wilshire,19
exposition-park,17
jefferson-park,4
arlington-heights,5
harvard-heights,7
carthay,1
beverly-grove,10
fairfax,10
hancock-park,9
koreatown,32
windsor-square,4
hollywood,28
larchmont,2
vermont-vista,8
broadway-manchester,8
green-meadows,6
vermont-knolls,5
watts,4
vermont-slauson,10
florence,13
vermont-square,11
south-park,7
central-alameda,4
adams-normandie,3
university-park,7
historic-south-central,15
pico-union,5
downtown,33
westlake,18
east-hollywood,12
silver-lake,12
chinatown,5
echo-park,5
elysian-park,1
elysian-valley,2
cypress-park,3
boyle-heights,20
lincoln-heights,3
el-sereno,6
montecito-heights,3
woodland-hills,36
tarzana,12
encino,21
sepulveda-basin,0
west-hills,17
chatsworth-reservoir,0
canoga-park,17
winnetka,15
reseda,18
lake-balboa,7
northridge,28
north-hills,16
porter-ranch,9
granada-hills,16
beverly-crest,3
studio-city,16
sherman-oaks,38
valley-village,8
valley-glen,30
hollywood-hills-west,4
hollywood-hills,7
toluca-lake,5
north-hollywood,68
van-nuys,42
panorama-city,12
mission-hills,7
arleta,2
pacoima,15
sun-valley,25
hansen-dam,0
shadow-hills,5
sunland,5
los-feliz,13
griffith-park,0
atwater-village,3
glassell-park,7
mount-washington,2
highland-park,16
eagle-rock,6
tujunga,14
sylmar,18
lake-view-terrace,4
