Neighborhood,Crime Amount
san-pedro,24
pacific-palisades,1
brentwood,5
harbor-city,12
wilmington,34
harbor-gateway,23
playa-del-rey,2
westchester,33
venice,13
mar-vista,6
playa-vista,2
del-rey,7
gramercy-park,7
manchester-square,4
hyde-park,16
chesterfield-square,6
harvard-park,10
leimert-park,4
sawtelle,13
rancho-park,2
palms,7
west-los-angeles,2
century-city,1
cheviot-hills,2
beverlywood,0
westwood,6
bel-air,0
baldwin-hillscrenshaw,9
west-adams,6
pico-robertson,4
mid-city,20
mid-wilshire,10
exposition-park,12
jefferson-park,11
arlington-heights,9
harvard-heights,13
carthay,1
beverly-grove,5
fairfax,4
hancock-park,3
koreatown,49
windsor-square,0
hollywood,17
larchmont,2
vermont-vista,14
broadway-manchester,18
green-meadows,23
vermont-knolls,13
watts,18
vermont-slauson,25
florence,39
vermont-square,21
south-park,16
central-alameda,17
adams-normandie,14
university-park,3
historic-south-central,23
pico-union,24
downtown,38
westlake,64
east-hollywood,23
silver-lake,10
chinatown,1
echo-park,18
elysian-park,5
elysian-valley,5
cypress-park,2
boyle-heights,42
lincoln-heights,11
el-sereno,13
montecito-heights,1
woodland-hills,12
tarzana,12
encino,6
sepulveda-basin,0
west-hills,6
chatsworth-reservoir,0
canoga-park,25
winnetka,15
reseda,18
lake-balboa,3
northridge,9
north-hills,23
porter-ranch,1
granada-hills,13
beverly-crest,0
studio-city,11
sherman-oaks,17
valley-village,8
valley-glen,16
hollywood-hills-west,4
hollywood-hills,7
toluca-lake,3
north-hollywood,29
van-nuys,49
panorama-city,31
mission-hills,6
arleta,12
pacoima,38
sun-valley,41
hansen-dam,0
shadow-hills,3
sunland,2
los-feliz,10
griffith-park,1
atwater-village,1
glassell-park,8
mount-washington,2
highland-park,15
eagle-rock,10
tujunga,5
sylmar,26
lake-view-terrace,7
