Neighborhood,Crime Amount
san-pedro,8
pacific-palisades,1
brentwood,4
harbor-city,1
wilmington,6
harbor-gateway,5
playa-del-rey,2
westchester,4
venice,5
mar-vista,5
playa-vista,2
del-rey,1
gramercy-park,0
manchester-square,0
hyde-park,4
chesterfield-square,1
harvard-park,1
leimert-park,3
sawtelle,4
rancho-park,0
palms,6
west-los-angeles,2
century-city,2
cheviot-hills,0
beverlywood,0
westwood,5
bel-air,1
baldwin-hillscrenshaw,5
west-adams,4
pico-robertson,2
mid-city,3
mid-wilshire,4
exposition-park,7
jefferson-park,1
arlington-heights,2
harvard-heights,4
carthay,0
beverly-grove,5
fairfax,1
hancock-park,2
koreatown,18
windsor-square,1
hollywood,21
larchmont,2
vermont-vista,2
broadway-manchester,11
green-meadows,5
vermont-knolls,7
watts,5
vermont-slauson,4
florence,2
vermont-square,7
south-park,0
central-alameda,1
adams-normandie,1
university-park,17
historic-south-central,5
pico-union,7
downtown,35
westlake,17
east-hollywood,4
silver-lake,3
chinatown,0
echo-park,6
elysian-park,1
elysian-valley,1
cypress-park,0
boyle-heights,8
lincoln-heights,7
el-sereno,2
montecito-heights,1
woodland-hills,9
tarzana,5
encino,2
sepulveda-basin,0
west-hills,6
chatsworth-reservoir,0
canoga-park,5
winnetka,2
reseda,9
lake-balboa,0
northridge,5
north-hills,8
porter-ranch,0
granada-hills,4
beverly-crest,1
studio-city,3
sherman-oaks,6
valley-village,5
valley-glen,5
hollywood-hills-west,1
hollywood-hills,4
toluca-lake,0
north-hollywood,14
van-nuys,16
panorama-city,4
mission-hills,2
arleta,1
pacoima,10
sun-valley,9
hansen-dam,1
shadow-hills,0
sunland,0
los-feliz,5
griffith-park,0
atwater-village,1
glassell-park,2
mount-washington,3
highland-park,3
eagle-rock,1
tujunga,0
sylmar,4
lake-view-terrace,0
