Neighborhood,Crime Amount
san-pedro,33
pacific-palisades,0
brentwood,10
harbor-city,6
wilmington,23
harbor-gateway,17
playa-del-rey,5
westchester,16
venice,22
mar-vista,9
playa-vista,1
del-rey,12
gramercy-park,4
manchester-square,8
hyde-park,33
chesterfield-square,3
harvard-park,6
leimert-park,6
sawtelle,15
rancho-park,0
palms,10
west-los-angeles,4
century-city,3
cheviot-hills,1
beverlywood,1
westwood,14
bel-air,1
baldwin-hillscrenshaw,35
west-adams,7
pico-robertson,8
mid-city,21
mid-wilshire,20
exposition-park,25
jefferson-park,12
arlington-heights,6
harvard-heights,15
carthay,3
beverly-grove,8
fairfax,16
hancock-park,8
koreatown,47
windsor-square,0
hollywood,70
larchmont,4
vermont-vista,18
broadway-manchester,18
green-meadows,21
vermont-knolls,20
watts,21
vermont-slauson,17
florence,22
vermont-square,24
south-park,11
central-alameda,16
adams-normandie,4
university-park,5
historic-south-central,37
pico-union,27
downtown,105
westlake,64
east-hollywood,28
silver-lake,16
chinatown,7
echo-park,13
elysian-park,0
elysian-valley,6
cypress-park,2
boyle-heights,58
lincoln-heights,13
el-sereno,22
montecito-heights,6
woodland-hills,24
tarzana,17
encino,8
sepulveda-basin,0
west-hills,8
chatsworth-reservoir,0
canoga-park,28
winnetka,21
reseda,21
lake-balboa,5
northridge,30
north-hills,18
porter-ranch,3
granada-hills,16
beverly-crest,2
studio-city,13
sherman-oaks,17
valley-village,14
valley-glen,33
hollywood-hills-west,3
hollywood-hills,6
toluca-lake,4
north-hollywood,29
van-nuys,32
panorama-city,19
mission-hills,8
arleta,6
pacoima,21
sun-valley,26
hansen-dam,0
shadow-hills,5
sunland,5
los-feliz,17
griffith-park,2
atwater-village,6
glassell-park,4
mount-washington,4
highland-park,14
eagle-rock,9
tujunga,6
sylmar,18
lake-view-terrace,3
