Neighborhood,Crime Amount
san-pedro,31
pacific-palisades,5
brentwood,3
harbor-city,13
wilmington,24
harbor-gateway,23
playa-del-rey,2
westchester,13
venice,28
mar-vista,12
playa-vista,3
del-rey,10
gramercy-park,4
manchester-square,5
hyde-park,33
chesterfield-square,3
harvard-park,13
leimert-park,5
sawtelle,21
rancho-park,0
palms,11
west-los-angeles,4
century-city,1
cheviot-hills,6
beverlywood,1
westwood,10
bel-air,3
baldwin-hillscrenshaw,21
west-adams,13
pico-robertson,5
mid-city,33
mid-wilshire,29
exposition-park,20
jefferson-park,11
arlington-heights,8
harvard-heights,1
carthay,2
beverly-grove,21
fairfax,17
hancock-park,10
koreatown,33
windsor-square,1
hollywood,82
larchmont,7
vermont-vista,22
broadway-manchester,28
green-meadows,30
vermont-knolls,27
watts,21
vermont-slauson,30
florence,30
vermont-square,39
south-park,19
central-alameda,18
adams-normandie,11
university-park,9
historic-south-central,29
pico-union,17
downtown,103
westlake,54
east-hollywood,31
silver-lake,15
chinatown,10
echo-park,26
elysian-park,0
elysian-valley,2
cypress-park,9
boyle-heights,65
lincoln-heights,12
el-sereno,16
montecito-heights,7
woodland-hills,19
tarzana,11
encino,19
sepulveda-basin,2
west-hills,16
chatsworth-reservoir,0
canoga-park,20
winnetka,13
reseda,16
lake-balboa,8
northridge,25
north-hills,20
porter-ranch,2
granada-hills,23
beverly-crest,2
studio-city,24
sherman-oaks,20
valley-village,6
valley-glen,39
hollywood-hills-west,6
hollywood-hills,7
toluca-lake,4
north-hollywood,36
van-nuys,53
panorama-city,31
mission-hills,5
arleta,5
pacoima,26
sun-valley,26
hansen-dam,1
shadow-hills,5
sunland,8
los-feliz,8
griffith-park,3
atwater-village,2
glassell-park,14
mount-washington,6
highland-park,24
eagle-rock,16
tujunga,8
sylmar,30
lake-view-terrace,4
