Neighborhood,Crime Amount
san-pedro,48
pacific-palisades,8
brentwood,3
harbor-city,15
wilmington,36
harbor-gateway,17
playa-del-rey,5
westchester,50
venice,39
mar-vista,6
playa-vista,3
del-rey,13
gramercy-park,11
manchester-square,13
hyde-park,27
chesterfield-square,6
harvard-park,18
leimert-park,15
sawtelle,21
rancho-park,0
palms,16
west-los-angeles,8
century-city,4
cheviot-hills,5
beverlywood,2
westwood,9
bel-air,2
baldwin-hillscrenshaw,40
west-adams,10
pico-robertson,13
mid-city,69
mid-wilshire,31
exposition-park,34
jefferson-park,13
arlington-heights,18
harvard-heights,21
carthay,3
beverly-grove,14
fairfax,14
hancock-park,3
koreatown,86
windsor-square,1
hollywood,98
larchmont,2
vermont-vista,33
broadway-manchester,44
green-meadows,39
vermont-knolls,37
watts,47
vermont-slauson,41
florence,71
vermont-square,54
south-park,30
central-alameda,25
adams-normandie,13
university-park,11
historic-south-central,65
pico-union,32
downtown,206
westlake,123
east-hollywood,50
silver-lake,17
chinatown,9
echo-park,14
elysian-park,4
elysian-valley,3
cypress-park,13
boyle-heights,91
lincoln-heights,14
el-sereno,23
montecito-heights,4
woodland-hills,29
tarzana,23
encino,15
sepulveda-basin,2
west-hills,14
chatsworth-reservoir,1
canoga-park,40
winnetka,34
reseda,40
lake-balboa,13
northridge,44
north-hills,34
porter-ranch,8
granada-hills,24
beverly-crest,3
studio-city,27
sherman-oaks,36
valley-village,5
valley-glen,45
hollywood-hills-west,3
hollywood-hills,15
toluca-lake,6
north-hollywood,67
van-nuys,99
panorama-city,38
mission-hills,7
arleta,8
pacoima,44
sun-valley,52
hansen-dam,3
shadow-hills,9
sunland,9
los-feliz,11
griffith-park,3
atwater-village,5
glassell-park,14
mount-washington,2
highland-park,27
eagle-rock,16
tujunga,3
sylmar,43
lake-view-terrace,6
