Neighborhood,Crime Amount
san-pedro,27
pacific-palisades,1
brentwood,3
harbor-city,3
wilmington,27
harbor-gateway,19
playa-del-rey,2
westchester,33
venice,21
mar-vista,5
playa-vista,1
del-rey,8
gramercy-park,6
manchester-square,4
hyde-park,14
chesterfield-square,5
harvard-park,5
leimert-park,5
sawtelle,7
rancho-park,1
palms,7
west-los-angeles,2
century-city,0
cheviot-hills,1
beverlywood,0
westwood,5
bel-air,0
baldwin-hillscrenshaw,16
west-adams,6
pico-robertson,6
mid-city,6
mid-wilshire,7
exposition-park,21
jefferson-park,15
arlington-heights,8
harvard-heights,9
carthay,0
beverly-grove,8
fairfax,3
hancock-park,7
koreatown,41
windsor-square,2
hollywood,29
larchmont,2
vermont-vista,18
broadway-manchester,29
green-meadows,22
vermont-knolls,15
watts,20
vermont-slauson,16
florence,43
vermont-square,35
south-park,21
central-alameda,26
adams-normandie,15
university-park,6
historic-south-central,41
pico-union,18
downtown,59
westlake,37
east-hollywood,27
silver-lake,8
chinatown,6
echo-park,14
elysian-park,3
elysian-valley,1
cypress-park,3
boyle-heights,58
lincoln-heights,11
el-sereno,14
montecito-heights,5
woodland-hills,14
tarzana,7
encino,5
sepulveda-basin,0
west-hills,7
chatsworth-reservoir,0
canoga-park,24
winnetka,14
reseda,13
lake-balboa,5
northridge,16
north-hills,20
porter-ranch,2
granada-hills,12
beverly-crest,0
studio-city,11
sherman-oaks,13
valley-village,7
valley-glen,12
hollywood-hills-west,1
hollywood-hills,6
toluca-lake,1
north-hollywood,27
van-nuys,53
panorama-city,28
mission-hills,9
arleta,7
pacoima,21
sun-valley,33
hansen-dam,2
shadow-hills,7
sunland,4
los-feliz,11
griffith-park,1
atwater-village,3
glassell-park,6
mount-washington,1
highland-park,16
eagle-rock,6
tujunga,7
sylmar,28
lake-view-terrace,2
