Neighborhood,Crime Amount
san-pedro,19
pacific-palisades,9
brentwood,13
harbor-city,6
wilmington,13
harbor-gateway,9
playa-del-rey,5
westchester,34
venice,14
mar-vista,10
playa-vista,3
del-rey,9
gramercy-park,3
manchester-square,4
hyde-park,14
chesterfield-square,2
harvard-park,4
leimert-park,8
sawtelle,22
rancho-park,0
palms,10
west-los-angeles,4
century-city,5
cheviot-hills,3
beverlywood,3
westwood,15
bel-air,0
baldwin-hillscrenshaw,22
west-adams,3
pico-robertson,6
mid-city,9
mid-wilshire,12
exposition-park,3
jefferson-park,5
arlington-heights,5
harvard-heights,4
carthay,4
beverly-grove,5
fairfax,9
hancock-park,2
koreatown,30
windsor-square,5
hollywood,36
larchmont,2
vermont-vista,6
broadway-manchester,5
green-meadows,6
vermont-knolls,4
watts,4
vermont-slauson,7
florence,9
vermont-square,13
south-park,5
central-alameda,7
adams-normandie,5
university-park,8
historic-south-central,13
pico-union,11
downtown,45
westlake,30
east-hollywood,14
silver-lake,9
chinatown,1
echo-park,12
elysian-park,0
elysian-valley,1
cypress-park,2
boyle-heights,17
lincoln-heights,3
el-sereno,1
montecito-heights,9
woodland-hills,70
tarzana,17
encino,20
sepulveda-basin,0
west-hills,19
chatsworth-reservoir,1
canoga-park,28
winnetka,13
reseda,32
lake-balboa,15
northridge,40
north-hills,14
porter-ranch,7
granada-hills,16
beverly-crest,6
studio-city,50
sherman-oaks,32
valley-village,13
valley-glen,26
hollywood-hills-west,2
hollywood-hills,9
toluca-lake,3
north-hollywood,30
van-nuys,43
panorama-city,15
mission-hills,7
arleta,12
pacoima,12
sun-valley,27
hansen-dam,0
shadow-hills,1
sunland,7
los-feliz,7
griffith-park,0
atwater-village,5
glassell-park,3
mount-washington,3
highland-park,10
eagle-rock,6
tujunga,3
sylmar,26
lake-view-terrace,2
