Neighborhood,Crime Amount
san-pedro,80
pacific-palisades,35
brentwood,47
harbor-city,16
wilmington,59
harbor-gateway,50
playa-del-rey,9
westchester,141
venice,121
mar-vista,31
playa-vista,13
del-rey,27
gramercy-park,7
manchester-square,19
hyde-park,41
chesterfield-square,9
harvard-park,24
leimert-park,27
sawtelle,66
rancho-park,6
palms,46
west-los-angeles,26
century-city,23
cheviot-hills,13
beverlywood,2
westwood,41
bel-air,6
baldwin-hillscrenshaw,83
west-adams,21
pico-robertson,25
mid-city,58
mid-wilshire,55
exposition-park,63
jefferson-park,22
arlington-heights,26
harvard-heights,30
carthay,10
beverly-grove,78
fairfax,71
hancock-park,23
koreatown,141
windsor-square,6
hollywood,264
larchmont,8
vermont-vista,27
broadway-manchester,46
green-meadows,41
vermont-knolls,25
watts,43
vermont-slauson,31
florence,66
vermont-square,49
south-park,48
central-alameda,42
adams-normandie,19
university-park,49
historic-south-central,66
pico-union,41
downtown,458
westlake,152
east-hollywood,71
silver-lake,67
chinatown,32
echo-park,48
elysian-park,6
elysian-valley,4
cypress-park,7
boyle-heights,105
lincoln-heights,38
el-sereno,18
montecito-heights,8
woodland-hills,109
tarzana,69
encino,59
sepulveda-basin,9
west-hills,46
chatsworth-reservoir,0
canoga-park,122
winnetka,48
reseda,52
lake-balboa,34
northridge,106
north-hills,60
porter-ranch,21
granada-hills,52
beverly-crest,4
studio-city,106
sherman-oaks,119
valley-village,44
valley-glen,71
hollywood-hills-west,28
hollywood-hills,50
toluca-lake,10
north-hollywood,121
van-nuys,174
panorama-city,69
mission-hills,25
arleta,18
pacoima,72
sun-valley,77
hansen-dam,2
shadow-hills,9
sunland,10
los-feliz,46
griffith-park,12
atwater-village,12
glassell-park,25
mount-washington,6
highland-park,32
eagle-rock,23
tujunga,16
sylmar,63
lake-view-terrace,12
