Neighborhood,Crime Amount
san-pedro,9
pacific-palisades,1
brentwood,5
harbor-city,1
wilmington,8
harbor-gateway,3
playa-del-rey,1
westchester,5
venice,6
mar-vista,2
playa-vista,0
del-rey,1
gramercy-park,5
manchester-square,2
hyde-park,13
chesterfield-square,5
harvard-park,10
leimert-park,6
sawtelle,10
rancho-park,1
palms,1
west-los-angeles,2
century-city,0
cheviot-hills,0
beverlywood,0
westwood,2
bel-air,0
baldwin-hillscrenshaw,17
west-adams,6
pico-robertson,3
mid-city,10
mid-wilshire,7
exposition-park,12
jefferson-park,7
arlington-heights,8
harvard-heights,8
carthay,1
beverly-grove,5
fairfax,9
hancock-park,1
koreatown,28
windsor-square,3
hollywood,27
larchmont,3
vermont-vista,13
broadway-manchester,11
green-meadows,25
vermont-knolls,15
watts,14
vermont-slauson,14
florence,22
vermont-square,20
south-park,9
central-alameda,11
adams-normandie,5
university-park,5
historic-south-central,14
pico-union,12
downtown,84
westlake,39
east-hollywood,11
silver-lake,0
chinatown,1
echo-park,4
elysian-park,1
elysian-valley,0
cypress-park,1
boyle-heights,23
lincoln-heights,3
el-sereno,2
montecito-heights,2
woodland-hills,5
tarzana,4
encino,0
sepulveda-basin,2
west-hills,1
chatsworth-reservoir,0
canoga-park,7
winnetka,8
reseda,9
lake-balboa,4
northridge,9
north-hills,12
porter-ranch,2
granada-hills,7
beverly-crest,1
studio-city,2
sherman-oaks,5
valley-village,2
valley-glen,6
hollywood-hills-west,0
hollywood-hills,4
toluca-lake,1
north-hollywood,10
van-nuys,15
panorama-city,13
mission-hills,2
arleta,3
pacoima,10
sun-valley,13
hansen-dam,0
shadow-hills,0
sunland,2
los-feliz,2
griffith-park,0
atwater-village,2
glassell-park,5
mount-washington,0
highland-park,7
eagle-rock,3
tujunga,0
sylmar,7
lake-view-terrace,2
