Neighborhood,Crime Amount
san-pedro,30
pacific-palisades,5
brentwood,5
harbor-city,4
wilmington,26
harbor-gateway,27
playa-del-rey,3
westchester,26
venice,14
mar-vista,7
playa-vista,3
del-rey,7
gramercy-park,5
manchester-square,7
hyde-park,13
chesterfield-square,5
harvard-park,7
leimert-park,4
sawtelle,7
rancho-park,3
palms,11
west-los-angeles,2
century-city,3
cheviot-hills,2
beverlywood,1
westwood,3
bel-air,0
baldwin-hillscrenshaw,14
west-adams,4
pico-robertson,7
mid-city,13
mid-wilshire,7
exposition-park,11
jefferson-park,12
arlington-heights,12
harvard-heights,7
carthay,2
beverly-grove,7
fairfax,6
hancock-park,0
koreatown,28
windsor-square,2
hollywood,30
larchmont,2
vermont-vista,16
broadway-manchester,25
green-meadows,25
vermont-knolls,16
watts,21
vermont-slauson,23
florence,44
vermont-square,19
south-park,16
central-alameda,18
adams-normandie,12
university-park,4
historic-south-central,29
pico-union,12
downtown,53
westlake,34
east-hollywood,20
silver-lake,17
chinatown,8
echo-park,17
elysian-park,4
elysian-valley,1
cypress-park,7
boyle-heights,46
lincoln-heights,6
el-sereno,16
montecito-heights,5
woodland-hills,9
tarzana,9
encino,7
sepulveda-basin,0
west-hills,10
chatsworth-reservoir,0
canoga-park,24
winnetka,14
reseda,17
lake-balboa,9
northridge,7
north-hills,20
porter-ranch,2
granada-hills,7
beverly-crest,1
studio-city,3
sherman-oaks,14
valley-village,9
valley-glen,24
hollywood-hills-west,4
hollywood-hills,3
toluca-lake,5
north-hollywood,15
van-nuys,46
panorama-city,26
mission-hills,6
arleta,7
pacoima,25
sun-valley,31
hansen-dam,1
shadow-hills,8
sunland,6
los-feliz,9
griffith-park,0
atwater-village,2
glassell-park,6
mount-washington,3
highland-park,22
eagle-rock,8
tujunga,8
sylmar,28
lake-view-terrace,8
