Neighborhood,Crime Amount
san-pedro,74
pacific-palisades,27
brentwood,34
harbor-city,23
wilmington,62
harbor-gateway,41
playa-del-rey,16
westchester,152
venice,115
mar-vista,26
playa-vista,20
del-rey,29
gramercy-park,13
manchester-square,11
hyde-park,40
chesterfield-square,15
harvard-park,22
leimert-park,18
sawtelle,66
rancho-park,7
palms,58
west-los-angeles,16
century-city,22
cheviot-hills,7
beverlywood,3
westwood,32
bel-air,2
baldwin-hillscrenshaw,94
west-adams,28
pico-robertson,18
mid-city,62
mid-wilshire,83
exposition-park,71
jefferson-park,21
arlington-heights,26
harvard-heights,24
carthay,11
beverly-grove,83
fairfax,52
hancock-park,25
koreatown,152
windsor-square,11
hollywood,270
larchmont,16
vermont-vista,29
broadway-manchester,46
green-meadows,33
vermont-knolls,28
watts,46
vermont-slauson,43
florence,68
vermont-square,79
south-park,30
central-alameda,45
adams-normandie,26
university-park,76
historic-south-central,62
pico-union,66
downtown,428
westlake,144
east-hollywood,85
silver-lake,62
chinatown,22
echo-park,62
elysian-park,10
elysian-valley,5
cypress-park,9
boyle-heights,106
lincoln-heights,36
el-sereno,23
montecito-heights,9
woodland-hills,101
tarzana,65
encino,63
sepulveda-basin,6
west-hills,41
chatsworth-reservoir,2
canoga-park,109
winnetka,38
reseda,65
lake-balboa,24
northridge,110
north-hills,72
porter-ranch,17
granada-hills,46
beverly-crest,3
studio-city,78
sherman-oaks,104
valley-village,39
valley-glen,70
hollywood-hills-west,13
hollywood-hills,43
toluca-lake,17
north-hollywood,130
van-nuys,191
panorama-city,73
mission-hills,21
arleta,23
pacoima,49
sun-valley,93
hansen-dam,2
shadow-hills,13
sunland,9
los-feliz,65
griffith-park,16
atwater-village,18
glassell-park,22
mount-washington,10
highland-park,46
eagle-rock,36
tujunga,13
sylmar,56
lake-view-terrace,12
