Neighborhood,Crime Amount
san-pedro,24
pacific-palisades,6
brentwood,15
harbor-city,12
wilmington,8
harbor-gateway,7
playa-del-rey,4
westchester,40
venice,12
mar-vista,6
playa-vista,2
del-rey,6
gramercy-park,6
manchester-square,5
hyde-park,12
chesterfield-square,4
harvard-park,4
leimert-park,9
sawtelle,22
rancho-park,2
palms,15
west-los-angeles,4
century-city,6
cheviot-hills,4
beverlywood,3
westwood,13
bel-air,4
baldwin-hillscrenshaw,20
west-adams,7
pico-robertson,6
mid-city,14
mid-wilshire,11
exposition-park,12
jefferson-park,5
arlington-heights,3
harvard-heights,4
carthay,2
beverly-grove,9
fairfax,9
hancock-park,4
koreatown,33
windsor-square,1
hollywood,45
larchmont,3
vermont-vista,5
broadway-manchester,9
green-meadows,7
vermont-knolls,5
watts,9
vermont-slauson,4
florence,13
vermont-square,18
south-park,3
central-alameda,8
adams-normandie,2
university-park,12
historic-south-central,12
pico-union,10
downtown,53
westlake,40
east-hollywood,14
silver-lake,10
chinatown,6
echo-park,10
elysian-park,0
elysian-valley,1
cypress-park,1
boyle-heights,20
lincoln-heights,10
el-sereno,8
montecito-heights,4
woodland-hills,37
tarzana,15
encino,30
sepulveda-basin,0
west-hills,31
chatsworth-reservoir,0
canoga-park,29
winnetka,11
reseda,30
lake-balboa,6
northridge,26
north-hills,20
porter-ranch,6
granada-hills,16
beverly-crest,4
studio-city,14
sherman-oaks,35
valley-village,14
valley-glen,28
hollywood-hills-west,7
hollywood-hills,10
toluca-lake,6
north-hollywood,26
van-nuys,53
panorama-city,23
mission-hills,5
arleta,5
pacoima,23
sun-valley,21
hansen-dam,1
shadow-hills,7
sunland,3
los-feliz,9
griffith-park,0
atwater-village,5
glassell-park,6
mount-washington,3
highland-park,4
eagle-rock,3
tujunga,8
sylmar,23
lake-view-terrace,3
