Neighborhood,Crime Amount
san-pedro,24
pacific-palisades,4
brentwood,14
harbor-city,7
wilmington,29
harbor-gateway,17
playa-del-rey,3
westchester,15
venice,25
mar-vista,24
playa-vista,4
del-rey,7
gramercy-park,7
manchester-square,4
hyde-park,28
chesterfield-square,5
harvard-park,9
leimert-park,12
sawtelle,33
rancho-park,2
palms,3
west-los-angeles,13
century-city,6
cheviot-hills,11
beverlywood,5
westwood,20
bel-air,2
baldwin-hillscrenshaw,7
west-adams,11
pico-robertson,14
mid-city,15
mid-wilshire,28
exposition-park,5
jefferson-park,11
arlington-heights,6
harvard-heights,2
carthay,3
beverly-grove,22
fairfax,9
hancock-park,18
koreatown,26
windsor-square,10
hollywood,31
larchmont,4
vermont-vista,14
broadway-manchester,11
green-meadows,6
vermont-knolls,8
watts,18
vermont-slauson,13
florence,18
vermont-square,9
south-park,8
central-alameda,5
adams-normandie,4
university-park,11
historic-south-central,9
pico-union,5
downtown,33
westlake,26
east-hollywood,15
silver-lake,19
chinatown,2
echo-park,5
elysian-park,0
elysian-valley,1
cypress-park,2
boyle-heights,24
lincoln-heights,1
el-sereno,7
montecito-heights,4
woodland-hills,27
tarzana,24
encino,24
sepulveda-basin,2
west-hills,11
chatsworth-reservoir,0
canoga-park,14
winnetka,6
reseda,10
lake-balboa,5
northridge,25
north-hills,8
porter-ranch,9
granada-hills,14
beverly-crest,6
studio-city,27
sherman-oaks,21
valley-village,5
valley-glen,15
hollywood-hills-west,7
hollywood-hills,7
toluca-lake,8
north-hollywood,16
van-nuys,23
panorama-city,11
mission-hills,4
arleta,1
pacoima,9
sun-valley,21
hansen-dam,0
shadow-hills,5
sunland,2
los-feliz,11
griffith-park,2
atwater-village,3
glassell-park,5
mount-washington,2
highland-park,6
eagle-rock,14
tujunga,5
sylmar,9
lake-view-terrace,6
