Neighborhood,Crime Amount
san-pedro,27
pacific-palisades,0
brentwood,4
harbor-city,18
wilmington,28
harbor-gateway,18
playa-del-rey,4
westchester,21
venice,8
mar-vista,8
playa-vista,2
del-rey,6
gramercy-park,5
manchester-square,5
hyde-park,19
chesterfield-square,3
harvard-park,6
leimert-park,2
sawtelle,9
rancho-park,2
palms,14
west-los-angeles,4
century-city,1
cheviot-hills,0
beverlywood,0
westwood,6
bel-air,0
baldwin-hillscrenshaw,10
west-adams,4
pico-robertson,3
mid-city,22
mid-wilshire,12
exposition-park,12
jefferson-park,13
arlington-heights,12
harvard-heights,11
carthay,1
beverly-grove,6
fairfax,5
hancock-park,2
koreatown,31
windsor-square,4
hollywood,29
larchmont,4
vermont-vista,18
broadway-manchester,17
green-meadows,23
vermont-knolls,21
watts,14
vermont-slauson,27
florence,41
vermont-square,30
south-park,22
central-alameda,17
adams-normandie,5
university-park,5
historic-south-central,29
pico-union,19
downtown,45
westlake,38
east-hollywood,23
silver-lake,19
chinatown,3
echo-park,11
elysian-park,2
elysian-valley,3
cypress-park,3
boyle-heights,42
lincoln-heights,19
el-sereno,16
montecito-heights,3
woodland-hills,14
tarzana,6
encino,5
sepulveda-basin,0
west-hills,6
chatsworth-reservoir,0
canoga-park,14
winnetka,19
reseda,20
lake-balboa,7
northridge,21
north-hills,19
porter-ranch,6
granada-hills,14
beverly-crest,0
studio-city,12
sherman-oaks,17
valley-village,8
valley-glen,24
hollywood-hills-west,4
hollywood-hills,8
toluca-lake,1
north-hollywood,42
van-nuys,46
panorama-city,40
mission-hills,10
arleta,12
pacoima,34
sun-valley,24
hansen-dam,2
shadow-hills,4
sunland,4
los-feliz,4
griffith-park,1
atwater-village,2
glassell-park,5
mount-washington,5
highland-park,17
eagle-rock,9
tujunga,8
sylmar,30
lake-view-terrace,3
