Neighborhood,Crime Amount
san-pedro,7
pacific-palisades,1
brentwood,1
harbor-city,2
wilmington,4
harbor-gateway,2
playa-del-rey,0
westchester,5
venice,9
mar-vista,3
playa-vista,1
del-rey,2
gramercy-park,1
manchester-square,1
hyde-park,3
chesterfield-square,0
harvard-park,0
leimert-park,0
sawtelle,5
rancho-park,0
palms,2
west-los-angeles,0
century-city,0
cheviot-hills,2
beverlywood,0
westwood,9
bel-air,0
baldwin-hillscrenshaw,3
west-adams,4
pico-robertson,1
mid-city,7
mid-wilshire,3
exposition-park,4
jefferson-park,5
arlington-heights,0
harvard-heights,5
carthay,2
beverly-grove,3
fairfax,2
hancock-park,1
koreatown,12
windsor-square,0
hollywood,17
larchmont,0
vermont-vista,5
broadway-manchester,6
green-meadows,5
vermont-knolls,3
watts,10
vermont-slauson,3
florence,1
vermont-square,2
south-park,5
central-alameda,7
adams-normandie,2
university-park,6
historic-south-central,1
pico-union,10
downtown,33
westlake,20
east-hollywood,8
silver-lake,5
chinatown,1
echo-park,3
elysian-park,0
elysian-valley,1
cypress-park,1
boyle-heights,10
lincoln-heights,2
el-sereno,4
montecito-heights,1
woodland-hills,10
tarzana,3
encino,5
sepulveda-basin,0
west-hills,6
chatsworth-reservoir,0
canoga-park,6
winnetka,0
reseda,8
lake-balboa,4
northridge,8
north-hills,8
porter-ranch,2
granada-hills,6
beverly-crest,1
studio-city,3
sherman-oaks,7
valley-village,1
valley-glen,2
hollywood-hills-west,2
hollywood-hills,1
toluca-lake,1
north-hollywood,8
van-nuys,7
panorama-city,1
mission-hills,2
arleta,1
pacoima,10
sun-valley,4
hansen-dam,1
shadow-hills,0
sunland,0
los-feliz,5
griffith-park,0
atwater-village,3
glassell-park,2
mount-washington,1
highland-park,3
eagle-rock,3
tujunga,1
sylmar,2
lake-view-terrace,1
